DATE	LAUCN100010000000003A	LAUCN100030000000003A	LAUCN100050000000003A
1990-01-01	4.6	5.1	3.4
1991-01-01	6.3	6.5	4.9
1992-01-01	5.7	5.6	4.5
1993-01-01	5.7	4.9	5.2
1994-01-01	5.2	4.6	5.1
1995-01-01	4.5	4.2	4.7
1996-01-01	5.1	5.3	4.5
1997-01-01	4.5	3.9	3.8
1998-01-01	4.1	3.6	3.8
1999-01-01	3.7	3.1	4.2
2000-01-01	4.0	3.6	3.9
2001-01-01	3.7	3.4	3.6
2002-01-01	4.0	4.1	3.7
2003-01-01	4.3	4.4	3.7
2004-01-01	3.5	4.2	3.6
2005-01-01	3.6	4.4	3.7
2006-01-01	3.2	3.8	3.3
2007-01-01	3.4	3.5	3.4
2008-01-01	4.9	4.9	5.1
2009-01-01	8.1	8.3	8.2
2010-01-01	8.9	8.3	8.5
2011-01-01	8.2	7.3	7.7
2012-01-01	7.9	7.0	7.2
2013-01-01	7.4	6.5	6.9
2014-01-01	6.4	5.5	5.8
2015-01-01	5.4	4.7	4.9
2016-01-01	4.7	4.3	4.4
