DATE	LAUCN230010000000003A	LAUCN230030000000003A	LAUCN230050000000003A	LAUCN230070000000003A	LAUCN230090000000003A	LAUCN230110000000003A	LAUCN230130000000003A	LAUCN230150000000003A	LAUCN230170000000003A	LAUCN230190000000003A	LAUCN230210000000003A	LAUCN230230000000003A	LAUCN230250000000003A	LAUCN230270000000003A	LAUCN230290000000003A	LAUCN230310000000003A
1990-01-01	6.8	6.9	3.8	6.4	5.0	4.5	5.2	3.5	7.0	5.8	6.4	3.5	6.9	7.3	7.6	4.8
1991-01-01	9.1	9.4	5.9	8.6	6.9	6.9	6.6	5.5	9.5	7.9	9.3	5.4	10.1	9.4	9.9	6.9
1992-01-01	8.6	10.3	5.5	8.1	7.5	7.1	6.3	5.9	8.6	7.1	8.9	5.4	9.9	8.7	10.0	6.7
1993-01-01	7.9	10.8	5.4	7.3	7.7	7.2	5.6	6.1	9.0	7.0	9.1	5.3	9.9	8.8	12.0	6.4
1994-01-01	7.2	11.8	4.7	7.5	7.5	6.8	5.1	5.4	9.2	7.5	9.4	4.6	10.2	8.1	11.9	5.7
1995-01-01	6.0	10.5	3.7	6.8	6.8	6.8	4.2	4.8	7.4	6.3	8.1	4.2	9.3	7.4	9.9	4.4
1996-01-01	5.9	9.2	3.0	6.5	5.9	5.7	3.6	4.0	6.3	5.4	7.6	4.1	8.2	6.0	9.5	3.9
1997-01-01	5.5	8.8	2.7	7.4	5.5	5.5	4.0	3.8	6.4	5.5	7.8	3.8	8.6	5.7	10.4	3.6
1998-01-01	4.9	7.1	2.5	6.9	5.1	5.4	3.4	3.4	6.1	4.6	6.6	3.2	7.7	5.2	9.6	3.2
1999-01-01	3.9	5.5	2.2	6.7	5.1	4.4	2.9	2.8	6.4	4.1	6.8	2.9	7.2	4.2	8.6	2.7
2000-01-01	3.4	4.2	2.5	5.1	4.0	3.5	2.8	3.0	4.1	3.7	5.3	2.7	4.8	3.9	6.0	2.7
2001-01-01	4.0	4.5	2.8	5.3	4.1	3.8	3.1	3.3	4.7	4.1	5.7	3.1	6.0	4.3	6.7	3.4
2002-01-01	4.4	5.2	3.2	5.1	4.3	4.3	3.3	3.6	5.5	4.6	6.9	3.5	7.0	4.8	7.8	4.2
2003-01-01	5.0	6.1	3.5	5.9	5.0	5.1	4.2	4.2	5.8	5.9	7.9	3.9	7.7	5.6	8.7	4.6
2004-01-01	4.5	6.2	3.4	5.6	5.1	4.8	3.6	3.9	5.7	5.5	6.8	3.7	7.4	5.1	7.6	4.0
2005-01-01	4.9	6.6	3.6	5.8	5.5	5.0	4.2	4.5	5.8	5.1	7.4	4.4	7.6	5.4	8.5	4.2
2006-01-01	4.6	6.5	3.4	5.7	5.3	4.4	4.2	4.2	5.7	5.0	6.7	4.0	6.8	5.2	7.5	3.9
2007-01-01	4.6	6.3	3.4	6.1	5.5	4.6	4.3	4.2	5.9	5.1	7.5	3.9	6.9	5.4	7.7	4.0
2008-01-01	5.5	7.0	4.2	7.1	6.1	5.3	5.3	5.2	6.9	5.8	8.4	4.8	7.9	6.2	8.5	4.9
2009-01-01	8.4	9.7	6.5	10.4	8.7	7.6	7.9	7.6	10.7	8.2	12.2	7.1	10.9	8.9	11.0	7.7
2010-01-01	8.6	9.7	6.5	9.1	9.0	7.5	7.5	7.6	10.8	8.5	10.1	6.5	11.1	8.4	11.2	7.9
2011-01-01	8.1	9.9	6.3	8.9	9.1	7.4	7.5	7.9	10.6	8.3	9.8	6.7	10.9	8.2	11.0	7.3
2012-01-01	7.7	9.4	5.9	8.5	8.8	7.1	7.0	7.4	9.7	7.7	9.4	6.5	10.1	8.1	10.9	6.9
2013-01-01	6.6	8.6	5.2	7.6	8.0	6.2	6.0	6.8	8.3	6.8	8.9	5.6	9.2	7.0	9.8	6.3
2014-01-01	5.4	7.6	4.3	6.4	7.0	5.3	5.2	6.0	7.0	6.1	7.5	4.6	7.9	6.0	8.7	5.2
2015-01-01	4.1	6.0	3.3	4.6	5.7	4.2	4.1	4.5	5.5	4.7	5.8	3.5	6.6	5.1	6.9	3.9
2016-01-01	3.6	5.7	2.9	4.4	4.7	3.6	3.6	3.8	4.8	4.4	5.4	3.0	5.8	4.2	6.2	3.4
