DATE	LAUCN240010000000003A	LAUCN240030000000003A	LAUCN240050000000003A	LAUCN240090000000003A	LAUCN240110000000003A	LAUCN240130000000003A	LAUCN240150000000003A	LAUCN240170000000003A	LAUCN240190000000003A	LAUCN240210000000003A	LAUCN240230000000003A	LAUCN240250000000003A	LAUCN240270000000003A	LAUCN240290000000003A	LAUCN240310000000003A	LAUCN240330000000003A	LAUCN240350000000003A	LAUCN240370000000003A	LAUCN240390000000003A	LAUCN240410000000003A	LAUCN240430000000003A	LAUCN240450000000003A	LAUCN240470000000003A	LAUCN245100000000003A
1990-01-01	11.0	3.3	4.6	3.5	4.3	3.6	9.9	2.8	7.3	4.0	9.4	4.4	2.5	5.6	2.4	3.5	3.4	4.2	14.9	2.9	6.7	6.7	8.2	7.7
1991-01-01	12.3	5.1	6.3	6.1	7.3	5.7	11.8	4.5	9.7	5.6	12.5	6.1	3.8	7.2	3.3	5.0	5.5	5.6	13.0	4.7	8.8	7.7	9.9	10.2
1992-01-01	13.5	5.8	7.2	5.9	8.4	6.0	10.8	5.6	12.8	5.6	13.6	7.2	4.3	8.2	3.7	5.8	6.7	6.7	12.3	5.3	9.4	8.9	11.7	11.1
1993-01-01	11.6	5.4	6.7	4.7	7.8	5.3	8.5	4.5	10.4	4.6	12.8	6.3	3.9	7.1	3.5	5.4	5.6	5.7	12.0	4.1	8.6	6.9	11.0	10.4
1994-01-01	9.9	4.3	5.6	3.7	5.0	4.3	7.9	3.6	9.1	4.0	11.1	5.9	3.6	5.8	3.0	4.6	4.9	4.8	11.5	3.5	6.9	6.6	9.6	9.1
1995-01-01	9.3	4.0	5.3	4.0	5.4	4.1	7.9	3.8	9.8	4.0	10.4	5.6	3.3	6.6	2.9	4.7	4.5	4.9	10.7	3.5	6.1	5.9	9.5	8.3
1996-01-01	9.0	4.1	5.3	4.1	6.0	4.2	10.1	3.6	10.9	3.5	10.9	5.4	3.1	8.2	2.7	4.9	4.6	4.7	10.2	4.1	5.3	6.1	9.9	8.5
1997-01-01	9.7	3.8	5.1	3.6	5.1	3.8	7.7	3.9	10.4	3.7	13.5	5.0	2.8	7.0	2.5	4.9	4.0	4.3	9.5	4.2	4.8	6.1	10.7	9.4
1998-01-01	8.7	3.4	4.6	3.5	4.3	3.1	6.6	3.1	9.5	2.8	10.6	4.4	2.4	5.9	2.3	4.3	3.7	3.8	9.2	3.8	4.2	5.3	10.0	8.9
1999-01-01	7.2	2.8	3.8	2.6	3.3	2.5	4.6	2.5	7.4	2.2	8.6	3.2	1.8	3.8	1.9	3.5	2.9	3.2	7.7	2.9	3.4	4.7	9.0	7.4
2000-01-01	5.9	3.0	3.7	3.0	3.6	3.0	3.5	3.0	5.1	2.7	5.2	3.3	2.5	3.9	2.6	3.7	3.1	3.3	6.3	3.4	3.7	4.2	6.2	5.9
2001-01-01	6.3	3.4	4.1	3.2	4.6	3.2	3.9	3.2	6.3	3.1	5.3	3.7	3.0	4.1	3.1	4.2	3.4	3.3	6.7	3.5	4.4	4.7	6.5	6.6
2002-01-01	6.2	3.9	4.6	3.5	4.6	3.6	4.5	3.5	6.5	3.4	5.4	4.2	3.4	4.4	3.5	4.8	3.6	3.6	6.7	3.8	4.9	4.8	6.3	7.1
2003-01-01	6.0	3.8	4.7	3.5	5.1	3.6	5.1	3.4	6.8	3.5	5.2	4.3	3.3	4.9	3.3	4.7	3.8	3.5	6.5	4.3	4.9	4.8	6.5	7.3
2004-01-01	6.1	3.7	4.4	3.4	4.7	3.5	4.4	3.4	5.8	3.3	4.9	4.0	3.2	4.3	3.2	4.5	3.6	3.4	6.5	4.1	4.5	4.4	6.8	7.2
2005-01-01	6.1	3.5	4.3	3.4	4.4	3.3	4.6	3.4	5.4	3.1	4.8	3.9	3.1	4.2	3.1	4.5	3.5	3.5	6.0	3.9	4.4	4.2	6.6	6.9
2006-01-01	5.6	3.3	3.9	3.1	4.4	3.2	4.4	3.2	5.7	3.1	4.8	3.6	2.9	3.9	2.9	4.2	3.4	3.4	5.5	3.6	4.5	4.1	6.0	6.4
2007-01-01	5.1	3.0	3.5	2.8	4.1	2.9	3.8	2.9	5.8	2.9	4.4	3.3	2.5	3.5	2.6	3.6	3.1	2.9	5.3	3.4	4.3	3.9	5.8	5.5
2008-01-01	5.7	3.7	4.4	3.4	5.3	3.7	5.1	3.6	6.7	3.6	4.8	4.1	3.1	4.8	3.2	4.3	4.0	3.6	6.4	4.2	5.5	5.2	7.2	6.5
2009-01-01	8.5	6.4	7.4	5.9	9.0	6.4	9.1	5.9	10.7	6.3	7.8	7.1	5.2	7.6	5.3	6.9	6.7	5.6	9.5	7.2	9.7	8.3	10.9	10.2
2010-01-01	9.3	6.9	8.3	6.9	9.2	6.8	9.5	6.9	11.4	6.9	8.9	7.8	5.6	8.8	5.6	7.5	7.3	6.5	11.9	8.0	9.6	9.7	13.3	11.2
2011-01-01	9.1	6.3	7.7	6.5	8.6	6.1	8.9	6.7	11.1	6.4	8.4	7.2	5.2	8.1	5.3	7.5	6.8	6.3	11.7	7.4	8.8	9.8	13.7	10.6
2012-01-01	8.9	6.0	7.4	6.3	7.7	5.9	8.3	6.7	10.8	6.1	8.3	6.9	5.0	7.6	5.2	7.3	6.3	6.2	11.3	7.2	7.8	9.4	12.9	10.2
2013-01-01	8.5	5.7	6.9	6.0	7.0	5.5	7.7	6.5	9.8	5.8	8.1	6.5	4.8	7.2	5.0	6.9	5.9	6.0	10.7	6.4	7.4	8.7	12.6	9.7
2014-01-01	7.6	5.1	6.1	5.3	6.3	4.8	6.6	5.7	8.4	5.1	7.1	5.7	4.3	6.4	4.4	6.1	5.1	5.4	9.4	5.5	6.5	7.7	11.5	8.5
2015-01-01	7.0	4.4	5.3	4.6	5.5	4.2	6.0	5.0	7.2	4.5	6.3	4.9	3.8	5.3	3.9	5.3	4.5	4.9	8.3	4.9	5.6	6.8	10.6	7.5
2016-01-01	6.1	3.7	4.5	3.8	4.7	3.5	5.1	4.2	6.0	3.7	5.5	4.1	3.2	4.7	3.3	4.4	3.8	4.1	7.0	4.1	4.9	6.0	9.0	6.3
