DATE	LAUCN250010000000003A	LAUCN250030000000003A	LAUCN250050000000003A	LAUCN250070000000003A	LAUCN250090000000003A	LAUCN250110000000003A	LAUCN250130000000003A	LAUCN250150000000003A	LAUCN250170000000003A	LAUCN250190000000003A	LAUCN250210000000003A	LAUCN250230000000003A	LAUCN250250000000003A	LAUCN250270000000003A
1990-01-01	7.4	7.1	9.1	5.1	6.7	5.2	6.6	5.1	5.1	3.2	5.1	7.2	6.1	7.0
1991-01-01	10.0	10.6	12.2	7.0	8.8	7.7	9.5	6.9	7.0	5.4	7.1	9.8	8.4	9.5
1992-01-01	10.3	10.2	11.6	7.6	8.8	7.7	9.1	6.5	7.2	4.5	7.1	9.7	8.2	8.7
1993-01-01	9.1	8.2	10.0	7.2	7.2	6.1	8.5	5.3	5.8	3.7	5.7	7.7	6.8	6.8
1994-01-01	8.3	7.5	8.7	6.5	6.3	5.2	7.7	4.8	5.0	2.6	4.9	6.3	6.0	5.6
1995-01-01	7.0	6.1	8.0	5.5	5.3	4.6	6.4	4.0	4.3	2.6	4.3	5.7	5.4	5.2
1996-01-01	6.0	5.1	7.2	5.2	4.5	3.9	5.1	3.3	3.3	2.3	3.5	5.0	4.7	4.4
1997-01-01	5.7	4.7	6.1	4.8	4.1	3.7	4.6	2.8	2.9	2.2	3.0	4.3	4.2	3.9
1998-01-01	4.9	3.9	4.9	4.0	3.6	3.2	4.2	2.7	2.4	1.7	2.5	3.5	3.5	3.4
1999-01-01	4.2	3.7	4.5	3.8	3.5	2.9	4.0	2.5	2.5	1.7	2.4	3.3	3.4	3.4
2000-01-01	3.4	2.9	3.7	2.7	2.7	2.5	3.3	2.2	2.2	1.5	2.3	2.7	3.0	2.7
2001-01-01	3.9	3.5	4.8	3.0	4.1	3.1	4.2	2.7	3.3	1.7	3.2	3.5	4.2	3.9
2002-01-01	4.7	4.5	6.1	3.8	5.9	4.0	5.7	3.6	5.0	1.9	4.6	4.9	5.9	5.6
2003-01-01	5.2	5.0	6.5	4.2	6.3	4.5	6.5	4.2	5.2	2.5	5.0	5.5	6.5	6.1
2004-01-01	5.0	4.7	6.1	4.0	5.7	4.2	6.1	4.1	4.4	2.5	4.5	5.2	5.7	5.5
2005-01-01	4.9	4.4	6.0	3.9	5.3	4.3	5.8	4.0	4.1	2.4	4.2	4.9	5.3	5.2
2006-01-01	5.1	4.4	6.1	4.0	5.3	4.4	6.0	4.1	4.1	2.4	4.3	5.0	5.1	5.3
2007-01-01	4.9	4.5	5.9	3.6	4.9	4.3	5.7	3.9	3.8	2.4	4.0	4.9	4.6	5.1
2008-01-01	6.0	5.3	7.3	4.3	5.9	5.2	6.7	4.5	4.5	3.4	4.9	5.9	5.4	6.0
2009-01-01	8.4	7.7	10.7	6.4	8.7	7.6	9.3	6.4	6.9	6.7	7.3	8.5	7.7	8.9
2010-01-01	9.9	8.7	10.5	9.7	8.7	7.5	10.4	6.8	6.9	9.6	7.4	9.0	7.7	8.9
2011-01-01	9.0	7.8	9.3	9.3	7.6	6.4	9.5	5.9	5.9	8.6	6.3	7.8	6.7	7.8
2012-01-01	8.2	7.3	8.6	8.9	7.0	6.0	8.9	5.5	5.4	7.8	5.8	7.1	6.2	7.2
2013-01-01	8.2	7.4	8.6	9.1	7.0	6.1	9.1	5.8	5.5	7.2	5.8	7.1	6.2	7.2
2014-01-01	7.1	6.5	7.3	8.0	6.0	5.3	7.8	5.0	4.7	6.2	5.0	6.1	5.3	6.1
2015-01-01	6.2	5.4	6.1	6.7	5.0	4.4	6.6	4.3	3.9	5.4	4.3	5.1	4.5	5.2
2016-01-01	4.7	4.3	4.7	5.0	3.8	3.3	5.0	3.3	3.0	4.2	3.2	3.9	3.4	3.9
