DATE	LAUCN320010000000003A	LAUCN320030000000003A	LAUCN320050000000003A	LAUCN320070000000003A	LAUCN320090000000003A	LAUCN320110000000003A	LAUCN320130000000003A	LAUCN320150000000003A	LAUCN320170000000003A	LAUCN320190000000003A	LAUCN320210000000003A	LAUCN320230000000003A	LAUCN320270000000003A	LAUCN320290000000003A	LAUCN320310000000003A	LAUCN320330000000003A	LAUCN325100000000003A
1990-01-01	6.3	4.5	4.9	4.8	5.8	5.4	5.2	6.4	6.6	6.1	5.8	3.4	4.6	2.2	4.9	6.4	5.8
1991-01-01	6.7	6.0	5.6	4.8	4.1	4.4	4.8	5.8	8.0	7.3	5.5	4.1	4.3	3.0	5.3	9.2	7.1
1992-01-01	7.8	6.7	6.5	5.8	8.0	5.7	5.7	7.9	9.6	9.5	5.3	5.8	6.3	4.2	6.2	9.8	9.1
1993-01-01	8.5	6.8	7.2	6.4	10.2	7.3	5.4	11.4	11.6	10.1	8.7	7.0	6.1	5.3	5.9	12.4	10.0
1994-01-01	8.2	6.2	7.4	6.2	7.1	11.0	5.4	11.3	11.6	9.6	10.5	5.7	7.2	5.0	5.3	10.3	8.0
1995-01-01	7.1	5.6	6.1	6.0	7.8	9.0	4.5	9.4	12.3	8.3	7.7	4.5	5.5	4.0	4.9	6.6	7.0
1996-01-01	6.7	4.9	6.3	5.0	7.2	7.1	3.8	8.1	11.8	8.0	6.9	4.9	4.9	4.4	4.5	7.4	7.7
1997-01-01	5.9	4.3	5.9	4.7	5.6	6.0	4.3	7.4	8.3	7.2	6.4	4.2	4.3	3.8	3.9	6.2	6.5
1998-01-01	6.2	4.1	5.0	5.6	9.7	5.4	6.5	10.1	6.0	7.3	6.7	4.0	3.5	4.2	3.7	5.7	5.6
1999-01-01	7.8	3.9	4.3	4.7	9.9	3.9	5.9	8.5	5.5	7.3	7.6	4.5	3.4	3.5	3.3	3.4	3.6
2000-01-01	5.8	4.3	3.8	3.7	8.0	3.0	4.6	5.4	4.6	5.4	7.7	6.4	4.1	3.0	3.5	3.9	3.5
2001-01-01	6.2	5.4	4.6	4.8	7.4	4.0	5.5	6.8	5.4	5.7	7.4	7.7	4.8	3.7	4.3	4.5	5.0
2002-01-01	5.1	5.9	5.0	4.6	7.0	4.7	5.5	6.1	4.8	5.7	5.9	7.3	4.8	3.9	4.9	4.1	5.7
2003-01-01	4.6	5.2	4.9	4.5	4.3	5.4	4.8	5.1	5.2	5.5	5.7	7.3	4.9	3.4	4.5	4.0	5.6
2004-01-01	4.1	4.3	4.2	3.7	5.1	4.0	3.8	4.1	5.1	5.4	5.2	5.8	4.2	3.2	4.0	3.6	4.8
2005-01-01	3.9	4.1	4.5	3.5	4.6	3.3	3.6	3.6	5.0	5.6	5.7	5.5	4.8	4.3	3.9	3.9	4.5
2006-01-01	4.2	4.0	4.6	3.4	4.1	3.7	3.6	3.9	4.5	5.9	6.7	5.5	4.9	4.2	3.8	3.7	4.6
2007-01-01	4.3	4.5	4.8	3.3	3.2	4.2	3.6	3.2	4.2	6.4	6.2	6.5	5.0	4.9	4.3	3.6	4.8
2008-01-01	6.0	6.6	7.4	4.3	4.9	5.2	4.9	4.4	5.6	9.8	7.5	9.7	7.0	6.9	6.8	4.7	7.1
2009-01-01	8.6	11.5	11.5	6.3	7.0	6.6	7.3	5.8	8.9	15.4	8.6	13.9	9.7	11.8	11.1	6.9	11.1
2010-01-01	12.4	13.8	13.8	7.7	9.2	7.8	8.7	9.5	10.6	17.5	14.4	17.3	10.6	16.7	12.9	9.2	13.5
2011-01-01	12.4	13.2	13.2	7.2	7.9	6.9	7.8	8.8	11.2	16.7	14.0	16.8	10.8	15.7	12.6	8.7	13.2
2012-01-01	11.0	11.3	11.5	6.3	6.9	6.1	6.6	7.4	10.5	14.8	13.6	14.5	9.7	13.3	11.0	7.7	11.7
2013-01-01	9.2	9.6	9.6	6.2	4.8	6.0	6.2	7.3	9.5	12.5	12.7	12.0	8.7	11.6	9.4	7.2	10.4
2014-01-01	7.6	8.0	8.0	5.6	4.5	5.9	6.2	6.6	7.5	10.2	11.2	9.6	7.2	9.1	7.6	6.0	8.7
2015-01-01	6.9	6.9	6.8	5.2	4.3	5.9	5.8	6.7	6.0	9.3	10.3	8.7	6.8	7.5	6.3	5.3	7.3
2016-01-01	5.4	5.8	5.6	4.5	4.5	4.6	5.4	6.2	5.1	7.4	6.6	7.3	5.9	6.3	5.0	4.6	6.1
