DATE	LAUCN330010000000003A	LAUCN330030000000003A	LAUCN330050000000003A	LAUCN330070000000003A	LAUCN330090000000003A	LAUCN330110000000003A	LAUCN330130000000003A	LAUCN330150000000003A	LAUCN330170000000003A	LAUCN330190000000003A
1990-01-01	6.1	5.0	4.4	6.5	5.5	5.4	5.2	6.2	5.9	6.4
1991-01-01	8.1	6.6	5.9	8.4	7.1	7.1	6.7	7.9	7.4	7.9
1992-01-01	7.9	6.2	5.8	10.4	5.8	7.3	6.2	8.3	7.1	6.9
1993-01-01	6.5	5.2	4.9	9.1	5.0	6.3	4.5	7.3	5.6	5.2
1994-01-01	4.6	4.1	4.0	7.0	3.2	5.1	3.4	5.8	4.0	3.6
1995-01-01	3.7	3.7	3.4	6.4	3.1	4.2	2.8	4.7	3.8	2.9
1996-01-01	3.8	4.1	3.3	6.6	3.4	3.6	2.8	4.6	3.9	2.8
1997-01-01	3.1	3.4	3.6	5.3	2.7	3.0	2.7	4.0	3.4	3.0
1998-01-01	2.5	2.5	3.0	3.9	2.2	2.6	2.3	3.5	2.8	2.6
1999-01-01	2.4	2.5	2.7	4.1	1.9	2.7	2.1	3.2	2.4	2.7
2000-01-01	2.4	2.7	2.6	3.6	2.4	2.5	2.4	3.0	2.7	2.5
2001-01-01	3.0	3.1	3.0	5.3	2.7	3.5	2.8	4.0	3.3	2.7
2002-01-01	3.9	3.6	3.5	6.6	2.9	4.8	3.4	5.5	4.3	3.2
2003-01-01	3.9	3.5	3.5	5.2	3.0	4.6	3.5	5.2	4.0	3.5
2004-01-01	3.5	3.2	3.3	4.5	2.8	3.9	3.2	4.6	3.4	3.2
2005-01-01	3.3	3.4	3.2	4.1	2.8	3.6	3.1	4.1	3.4	2.9
2006-01-01	3.3	3.2	3.2	4.1	2.9	3.6	3.1	3.8	3.2	2.9
2007-01-01	3.6	3.4	3.5	4.6	3.0	3.5	3.3	3.8	3.3	3.0
2008-01-01	4.1	3.6	3.7	5.2	3.1	3.9	3.6	4.2	3.6	3.4
2009-01-01	6.7	5.6	5.7	7.9	5.1	6.5	5.6	6.6	6.2	5.8
2010-01-01	6.4	5.7	5.6	7.2	4.9	6.2	5.3	6.0	5.7	5.0
2011-01-01	5.5	5.5	5.1	7.2	4.5	5.6	4.9	5.6	5.3	4.5
2012-01-01	5.4	5.3	5.1	7.5	4.5	5.8	4.9	5.8	5.4	4.5
2013-01-01	5.0	5.0	4.7	6.2	4.3	5.3	4.6	5.4	4.9	4.2
2014-01-01	4.1	4.2	4.0	5.9	3.5	4.5	3.8	4.6	4.0	3.6
2015-01-01	3.3	3.5	3.2	4.6	2.8	3.5	3.1	3.6	3.1	2.8
2016-01-01	2.8	3.0	2.7	3.9	2.4	3.0	2.5	3.0	2.5	2.4
