DATE	LAUCN340010000000003A	LAUCN340030000000003A	LAUCN340050000000003A	LAUCN340070000000003A	LAUCN340090000000003A	LAUCN340110000000003A	LAUCN340130000000003A	LAUCN340150000000003A	LAUCN340170000000003A	LAUCN340190000000003A	LAUCN340210000000003A	LAUCN340230000000003A	LAUCN340250000000003A	LAUCN340270000000003A	LAUCN340290000000003A	LAUCN340310000000003A	LAUCN340330000000003A	LAUCN340350000000003A	LAUCN340370000000003A	LAUCN340390000000003A	LAUCN340410000000003A
1990-01-01	6.2	3.9	4.6	5.9	7.7	7.5	6.3	5.6	7.3	2.7	4.4	4.5	4.1	3.2	5.0	6.3	5.3	2.9	4.2	5.4	4.3
1991-01-01	8.8	5.3	6.2	7.7	10.2	10.0	8.1	7.5	8.7	3.8	5.6	5.8	5.8	4.8	6.8	8.1	7.1	3.9	6.0	6.9	6.1
1992-01-01	10.2	7.2	7.7	9.2	13.1	12.1	9.9	8.7	11.1	5.0	6.5	7.5	7.3	6.2	8.2	10.5	8.4	5.1	7.9	8.7	7.7
1993-01-01	9.5	6.8	6.2	7.5	13.3	11.5	9.3	7.3	10.2	4.5	5.9	6.9	6.3	5.8	7.1	10.2	7.2	4.9	7.3	8.2	7.1
1994-01-01	8.7	6.2	5.3	6.8	12.7	10.5	8.3	6.7	9.3	3.7	5.3	5.8	5.8	5.0	6.6	9.4	6.8	4.3	6.3	7.2	6.3
1995-01-01	8.6	5.8	5.0	6.4	12.1	9.8	7.7	6.5	9.3	3.2	5.4	5.5	5.4	4.3	6.2	8.6	6.5	3.8	5.7	6.5	5.7
1996-01-01	8.3	5.3	4.7	6.0	11.8	9.8	7.7	6.2	9.2	3.1	5.6	5.2	5.2	4.0	6.1	8.2	7.2	3.4	5.3	6.3	5.5
1997-01-01	7.6	4.5	3.9	5.0	11.1	8.8	6.7	5.0	8.0	2.5	4.7	4.3	4.5	3.3	5.5	6.9	5.8	2.8	4.4	5.5	4.6
1998-01-01	7.7	3.6	3.4	4.5	10.5	8.9	5.6	4.5	7.2	2.2	4.1	3.7	4.0	2.8	4.8	5.8	5.1	2.5	3.6	4.8	4.0
1999-01-01	7.1	3.6	3.3	4.6	9.9	8.3	5.6	4.4	7.1	2.0	3.8	3.7	3.9	2.7	4.5	6.2	4.7	2.4	3.4	4.7	4.0
2000-01-01	4.7	3.2	3.1	3.9	6.4	5.8	4.5	3.6	4.8	2.3	3.3	3.4	3.2	2.7	3.7	4.6	3.9	2.6	3.0	3.9	2.9
2001-01-01	4.7	3.7	3.5	4.3	6.6	6.5	5.3	3.9	5.5	2.8	3.7	4.0	3.8	3.2	4.1	5.4	4.4	3.2	3.6	4.6	3.5
2002-01-01	6.0	5.0	4.8	5.8	7.9	7.5	7.2	5.2	7.6	4.1	5.3	5.6	5.3	4.6	5.4	7.0	5.8	4.7	4.9	6.3	4.9
2003-01-01	6.2	5.1	4.8	6.0	8.0	7.9	7.2	5.4	7.4	4.3	5.2	5.5	5.4	4.6	5.8	7.3	6.0	4.6	5.2	6.3	5.0
2004-01-01	5.5	4.1	4.1	5.2	6.8	6.5	6.1	4.6	6.0	3.4	4.2	4.5	4.4	3.6	5.0	6.1	5.2	3.7	4.3	5.2	4.3
2005-01-01	5.4	3.7	3.9	4.8	6.6	6.4	5.6	4.4	5.5	3.1	3.9	4.2	4.1	3.3	4.7	5.5	4.9	3.4	3.9	4.8	4.0
2006-01-01	5.8	3.9	4.2	5.3	7.0	7.0	5.9	4.8	5.6	3.4	4.3	4.4	4.2	3.4	5.0	5.7	5.1	3.5	4.2	4.9	4.2
2007-01-01	5.9	3.4	3.8	4.8	6.6	6.5	5.3	4.3	5.0	2.8	3.8	3.9	3.7	3.0	4.6	5.3	5.0	3.1	3.9	4.5	3.8
2008-01-01	6.8	4.4	4.9	5.9	7.9	7.9	6.4	5.3	6.2	3.7	4.7	4.9	4.8	3.9	5.8	6.6	6.1	4.0	4.9	5.6	4.9
2009-01-01	11.9	7.8	8.4	9.9	11.2	12.5	10.3	9.2	10.5	6.7	7.6	8.5	8.3	7.1	9.5	11.0	10.6	7.3	8.6	9.3	8.7
2010-01-01	12.3	8.0	9.0	10.9	14.0	13.0	10.8	10.3	9.6	7.4	8.4	8.9	8.7	7.4	10.3	11.4	11.7	7.6	9.4	9.5	9.9
2011-01-01	12.5	7.7	8.7	10.9	14.9	13.0	10.8	10.2	9.2	6.9	8.3	8.7	8.6	7.1	10.4	11.0	11.7	7.4	9.2	9.5	9.1
2012-01-01	12.7	7.7	8.7	10.7	15.5	13.2	10.7	10.1	8.9	6.8	8.3	8.6	8.7	7.1	10.6	11.1	11.8	7.4	9.0	9.4	8.8
2013-01-01	11.6	6.7	7.6	9.3	14.3	11.8	9.7	8.9	7.9	5.8	7.2	7.5	7.5	6.2	9.3	10.0	10.4	6.3	7.9	8.4	7.6
2014-01-01	10.5	5.4	6.4	7.7	12.2	9.9	8.0	7.3	6.4	4.9	5.9	6.1	6.0	5.0	7.4	8.2	8.5	5.2	6.4	6.9	6.3
2015-01-01	9.6	4.7	5.4	6.5	11.1	8.9	6.9	6.1	5.4	4.3	5.0	5.2	5.2	4.4	6.2	7.1	7.4	4.6	5.5	6.1	5.4
2016-01-01	7.4	4.2	4.4	5.5	9.8	7.5	6.0	5.1	4.7	3.8	4.3	4.4	4.4	3.9	5.2	6.1	6.3	4.1	4.7	5.2	4.6
