DATE	LAUCN350010000000003A	LAUCN350030000000003A	LAUCN350050000000003A	LAUCN350060000000003A	LAUCN350070000000003A	LAUCN350090000000003A	LAUCN350110000000003A	LAUCN350130000000003A	LAUCN350150000000003A	LAUCN350170000000003A	LAUCN350190000000003A	LAUCN350210000000003A	LAUCN350230000000003A	LAUCN350250000000003A	LAUCN350270000000003A	LAUCN350280000000003A	LAUCN350290000000003A	LAUCN350310000000003A	LAUCN350330000000003A	LAUCN350350000000003A	LAUCN350370000000003A	LAUCN350390000000003A	LAUCN350410000000003A	LAUCN350430000000003A	LAUCN350450000000003A	LAUCN350470000000003A	LAUCN350490000000003A	LAUCN350510000000003A	LAUCN350530000000003A	LAUCN350550000000003A	LAUCN350570000000003A	LAUCN350590000000003A	LAUCN350610000000003A
1990-01-01	5.4	15.0	5.5	13.0	9.4	5.9	5.1	7.8	6.7	9.0	12.0	9.0	6.6	4.7	5.8	1.5	12.9	8.3	20.1	7.1	7.2	13.6	6.3	5.6	8.6	10.4	3.3	4.2	7.4	15.3	7.7	4.6	6.3
1991-01-01	5.7	13.4	10.5	13.7	9.4	5.7	7.5	8.2	6.7	8.1	10.9	6.0	5.0	4.6	7.1	1.5	14.9	9.3	25.1	8.5	6.6	14.6	5.7	5.9	9.7	11.4	3.7	5.9	7.5	16.3	8.0	4.2	6.7
1992-01-01	5.0	11.1	11.6	13.3	9.5	5.7	6.7	8.0	7.7	11.1	12.1	5.0	5.7	6.5	7.1	1.5	16.4	8.1	23.6	8.7	6.1	15.1	5.1	5.4	11.5	11.1	4.0	5.6	8.4	18.1	10.1	4.5	5.8
1993-01-01	6.3	10.7	7.1	12.1	7.7	5.9	5.8	7.7	8.7	8.5	11.9	4.8	6.0	5.6	5.8	1.2	15.4	6.9	20.2	7.8	5.8	12.5	4.8	5.5	9.8	8.8	3.6	4.7	9.1	14.6	8.4	3.6	6.1
1994-01-01	4.5	13.4	7.3	10.3	7.1	5.6	3.4	8.8	9.0	7.5	11.5	6.8	6.2	7.1	5.9	1.3	20.9	8.5	19.4	7.7	6.1	11.0	5.1	4.7	10.0	7.7	3.8	5.4	8.3	14.5	6.6	4.4	4.8
1995-01-01	4.2	11.9	8.4	10.3	8.0	5.5	3.3	8.9	8.1	7.5	11.5	5.6	5.3	5.7	9.1	2.1	24.7	8.7	21.4	7.0	6.0	12.4	5.6	4.4	10.5	8.7	4.5	4.7	8.3	15.6	7.1	4.3	4.6
1996-01-01	4.8	13.8	8.6	13.4	11.4	6.0	4.7	9.4	7.4	7.2	12.6	4.3	5.9	6.0	8.1	2.8	26.1	9.9	20.2	8.2	5.9	13.7	5.8	4.8	11.6	12.1	4.9	4.3	7.9	16.4	7.8	4.5	4.6
1997-01-01	4.3	11.6	6.8	10.7	7.5	5.5	4.2	8.6	6.3	6.7	11.8	6.3	4.5	4.8	6.2	1.8	25.3	8.8	19.8	7.1	6.1	10.8	4.3	4.3	9.8	10.4	4.2	3.7	6.9	14.6	6.7	4.6	4.6
1998-01-01	4.3	11.8	9.6	8.6	6.3	4.4	5.6	8.4	6.8	6.8	10.0	5.5	5.1	5.7	4.8	1.8	26.0	8.1	19.1	6.0	4.8	8.8	3.3	4.9	8.1	8.2	3.5	3.8	6.3	12.1	5.3	4.0	5.1
1999-01-01	3.8	9.7	8.2	7.8	5.4	4.1	4.2	7.9	8.0	8.5	8.1	3.3	9.6	9.2	4.1	1.6	23.5	7.0	16.7	4.9	3.8	7.2	3.4	4.0	7.5	6.9	2.8	3.2	5.2	11.5	4.8	2.6	4.3
