DATE	LAUCN360010000000003A	LAUCN360030000000003A	LAUCN360050000000003A	LAUCN360070000000003A	LAUCN360090000000003A	LAUCN360110000000003A	LAUCN360130000000003A	LAUCN360150000000003A	LAUCN360170000000003A	LAUCN360190000000003A	LAUCN360210000000003A	LAUCN360230000000003A	LAUCN360250000000003A	LAUCN360270000000003A	LAUCN360290000000003A	LAUCN360310000000003A	LAUCN360330000000003A	LAUCN360350000000003A	LAUCN360370000000003A	LAUCN360390000000003A	LAUCN360410000000003A	LAUCN360430000000003A	LAUCN360450000000003A	LAUCN360470000000003A	LAUCN360490000000003A	LAUCN360510000000003A	LAUCN360530000000003A	LAUCN360550000000003A	LAUCN360570000000003A	LAUCN360590000000003A	LAUCN360610000000003A	LAUCN360630000000003A	LAUCN360650000000003A	LAUCN360670000000003A	LAUCN360690000000003A	LAUCN360710000000003A	LAUCN360730000000003A	LAUCN360750000000003A	LAUCN360770000000003A	LAUCN360790000000003A	LAUCN360810000000003A	LAUCN360830000000003A	LAUCN360850000000003A	LAUCN360870000000003A	LAUCN360890000000003A	LAUCN360910000000003A	LAUCN360930000000003A	LAUCN360950000000003A	LAUCN360970000000003A	LAUCN360990000000003A	LAUCN361010000000003A	LAUCN361030000000003A	LAUCN361050000000003A	LAUCN361070000000003A	LAUCN361090000000003A	LAUCN361110000000003A	LAUCN361130000000003A	LAUCN361150000000003A	LAUCN361170000000003A	LAUCN361190000000003A	LAUCN361210000000003A	LAUCN361230000000003A
1990-01-01	3.0	6.6	8.5	4.2	6.4	6.1	5.8	4.8	5.4	6.0	3.2	6.4	5.2	3.0	5.2	8.1	8.7	8.6	5.2	4.9	9.0	6.2	8.7	7.8	7.1	4.3	5.1	3.4	7.0	3.7	6.0	5.7	4.4	3.8	4.3	4.4	6.6	6.9	5.1	3.3	6.0	4.1	6.1	3.3	7.9	3.6	3.9	5.2	5.5	4.7	5.2	4.4	5.1	4.3	3.7	3.7	5.8	5.4	4.8	3.5	5.8	5.2
1991-01-01	4.7	8.1	10.4	5.9	9.0	8.3	7.7	6.6	6.9	7.9	5.5	7.5	6.7	5.2	6.9	11.2	11.5	10.5	7.9	7.7	10.5	8.8	11.0	9.6	9.2	6.4	7.4	4.4	9.7	5.7	7.7	7.6	6.6	5.9	5.5	6.1	7.3	10.0	5.9	5.3	8.0	6.2	7.9	5.6	9.8	5.5	5.9	7.2	7.7	6.1	7.3	6.9	8.1	5.9	4.3	5.9	8.7	7.4	6.5	5.4	8.3	6.7
1992-01-01	5.0	9.6	13.1	6.7	10.0	8.0	8.2	6.8	7.7	8.9	5.7	8.1	7.8	6.7	7.3	12.3	10.4	10.0	8.0	8.9	11.8	8.8	12.1	12.1	11.0	6.7	7.7	4.9	9.9	7.0	9.4	8.4	7.0	6.5	6.1	6.5	8.5	10.3	6.9	6.0	10.6	6.4	9.9	6.4	9.8	5.9	6.3	8.4	8.6	6.5	8.0	8.2	9.1	6.6	4.7	6.7	9.5	8.0	7.3	6.2	8.8	7.2
1993-01-01	4.2	8.6	12.2	6.9	8.8	7.0	6.9	5.7	8.1	7.7	5.1	8.0	6.8	8.6	6.6	10.6	8.6	7.9	6.6	8.5	11.2	7.7	11.1	11.6	10.1	5.7	6.8	4.6	7.6	5.9	9.0	7.5	6.2	5.9	5.3	6.0	7.4	9.3	6.2	5.3	9.7	5.2	9.4	6.2	8.9	5.0	5.1	6.8	7.5	6.4	6.6	7.3	8.2	6.4	4.1	7.4	8.3	6.7	6.1	5.5	8.0	5.6
1994-01-01	4.1	8.4	10.2	6.7	8.3	6.3	6.6	5.3	8.0	7.7	4.7	7.7	6.4	6.9	5.9	10.2	8.8	7.6	6.4	8.2	11.2	6.7	10.2	9.9	9.2	5.9	6.0	4.9	7.6	5.1	7.6	6.9	5.3	5.1	5.4	5.4	7.1	8.7	6.1	4.7	8.3	5.3	7.8	5.3	9.4	4.8	4.9	6.2	6.9	6.1	6.5	6.2	7.5	6.8	3.8	6.6	7.7	6.3	6.1	4.9	7.9	5.2
1995-01-01	4.2	7.7	9.6	5.3	7.6	6.2	5.9	4.8	7.3	6.8	4.2	6.9	5.5	5.0	5.2	9.0	8.3	8.0	5.8	7.5	11.4	7.0	9.0	9.2	8.3	5.4	5.8	3.9	8.1	4.5	6.9	6.0	5.1	4.6	5.0	4.9	7.7	8.5	5.4	3.9	7.6	5.4	7.5	4.9	8.4	4.7	5.2	6.2	6.0	6.0	6.7	5.4	6.3	5.7	3.5	5.4	7.1	5.9	5.6	4.4	6.8	4.7
1996-01-01	3.7	7.6	10.6	4.4	7.0	5.7	5.1	4.3	6.5	6.8	4.1	6.2	5.2	4.2	4.8	8.5	8.4	8.3	5.0	6.7	11.0	6.6	8.5	10.0	7.8	5.1	5.2	3.5	8.1	3.7	7.4	6.1	4.9	4.1	4.4	4.3	5.6	7.0	5.1	3.6	8.1	4.9	7.8	4.3	8.1	4.3	4.7	6.0	5.6	5.3	5.9	4.6	6.4	4.6	3.0	4.5	6.9	5.6	5.0	4.1	6.6	4.1
1997-01-01	3.3	8.2	11.7	4.2	7.2	5.9	5.6	4.4	6.3	6.7	3.6	6.7	5.2	4.0	5.0	8.5	8.7	7.5	5.6	6.1	11.2	6.6	8.8	10.8	7.8	5.2	5.1	3.6	7.3	3.5	7.9	6.5	4.8	3.8	4.1	4.1	6.2	6.9	5.3	3.0	8.6	4.5	8.4	4.0	8.0	3.9	4.4	5.9	5.9	5.5	6.6	4.2	6.4	4.0	3.1	4.1	6.8	5.8	4.8	3.7	6.8	4.1
1998-01-01	3.0	7.5	9.9	4.0	7.2	5.2	5.3	4.2	5.7	6.1	3.3	7.5	4.5	3.4	5.1	8.1	7.9	6.2	5.3	5.5	11.2	5.8	9.3	9.3	8.6	5.0	4.5	3.6	6.0	3.0	6.7	6.6	4.2	3.5	3.9	3.4	5.3	5.7	5.0	2.7	6.9	4.0	6.9	3.4	7.9	3.5	4.0	4.9	5.9	4.9	6.0	3.6	6.1	3.7	2.9	3.5	6.2	4.8	4.7	3.3	7.7	3.8
1999-01-01	2.8	7.6	8.2	4.1	7.1	5.1	5.1	4.8	5.8	6.5	3.1	6.8	5.2	3.4	5.1	8.4	7.7	6.0	5.2	5.4	10.4	5.2	9.1	7.9	8.8	4.9	4.6	3.8	6.3	3.0	5.8	6.1	4.0	3.5	4.2	3.7	5.2	6.3	5.2	2.9	6.0	3.9	5.8	3.4	8.2	3.3	3.5	5.2	5.7	5.4	5.7	3.6	5.8	3.7	2.8	3.5	5.9	4.5	5.0	3.4	7.1	4.1
