DATE	LAUCN410010000000003A	LAUCN410030000000003A	LAUCN410050000000003A	LAUCN410070000000003A	LAUCN410090000000003A	LAUCN410110000000003A	LAUCN410130000000003A	LAUCN410150000000003A	LAUCN410170000000003A	LAUCN410190000000003A	LAUCN410210000000003A	LAUCN410230000000003A	LAUCN410250000000003A	LAUCN410270000000003A	LAUCN410290000000003A	LAUCN410310000000003A	LAUCN410330000000003A	LAUCN410350000000003A	LAUCN410370000000003A	LAUCN410390000000003A	LAUCN410410000000003A	LAUCN410430000000003A	LAUCN410450000000003A	LAUCN410470000000003A	LAUCN410490000000003A	LAUCN410510000000003A	LAUCN410530000000003A	LAUCN410550000000003A	LAUCN410570000000003A	LAUCN410590000000003A	LAUCN410610000000003A	LAUCN410630000000003A	LAUCN410650000000003A	LAUCN410670000000003A	LAUCN410690000000003A	LAUCN410710000000003A
1990-01-01	7.4	5.0	3.5	7.0	6.4	8.3	6.9	6.4	5.5	8.2	3.7	8.7	8.9	8.2	6.6	6.4	7.1	9.0	8.9	6.2	6.0	7.6	5.0	5.4	7.9	5.1	5.6	5.4	5.9	8.3	6.9	7.5	7.0	3.3	10.5	5.3
1991-01-01	8.1	4.3	4.4	7.6	7.0	9.3	8.4	7.1	6.8	10.7	3.3	10.5	8.3	9.5	8.0	7.4	8.7	9.6	8.4	7.0	6.2	8.7	6.8	6.0	10.0	5.7	5.7	7.0	6.4	8.7	7.4	8.8	7.8	4.7	13.4	5.7
1992-01-01	9.7	4.1	5.6	8.5	9.4	10.9	8.5	9.1	8.3	12.0	4.0	10.8	9.9	10.4	8.3	8.4	10.0	10.2	8.8	7.4	7.2	9.8	8.5	7.0	10.6	7.1	6.0	8.7	6.9	9.0	8.3	10.1	9.1	5.9	9.5	6.9
1993-01-01	9.3	3.3	5.2	8.3	9.3	10.5	9.5	8.8	8.4	11.4	4.9	11.7	11.6	10.2	8.3	8.6	10.5	10.5	9.2	7.4	7.4	9.2	8.6	7.1	10.1	6.3	5.9	10.1	6.2	8.7	7.5	10.1	9.0	5.1	11.8	5.8
1994-01-01	8.1	2.6	3.7	6.3	6.5	8.6	7.5	7.7	7.2	9.1	3.7	9.6	10.0	7.9	6.7	6.5	9.1	8.6	8.3	5.4	6.1	7.0	7.0	5.5	8.3	4.9	4.6	6.3	4.8	7.1	6.3	9.3	7.3	3.7	11.1	4.4
1995-01-01	8.1	2.2	3.2	5.1	4.8	7.4	7.9	7.6	6.6	8.1	3.2	10.4	11.3	8.4	6.6	6.1	8.5	7.5	8.6	5.3	7.1	6.1	6.6	4.8	7.4	4.2	4.0	7.2	5.0	7.0	6.4	10.7	7.1	3.1	7.2	4.0
1996-01-01	11.0	2.6	3.8	6.1	5.9	8.9	11.2	9.2	8.2	8.6	3.8	11.6	12.6	10.2	7.9	7.5	9.6	8.4	11.3	5.6	7.2	6.7	8.3	5.7	9.0	5.0	4.6	7.4	5.8	8.1	7.5	11.3	8.4	3.7	8.4	4.6
1997-01-01	9.9	2.4	3.8	6.5	6.0	9.4	9.8	9.1	7.7	8.5	5.4	13.1	9.6	10.4	7.4	6.5	9.2	9.5	11.5	5.5	8.4	7.1	8.5	5.8	8.7	4.8	4.9	5.6	6.4	7.8	7.7	10.4	8.6	3.7	11.4	4.9
1998-01-01	9.1	3.2	3.6	6.1	5.3	10.5	9.9	9.5	7.3	9.8	5.7	14.2	7.9	9.4	7.2	6.9	9.3	9.8	12.5	5.8	8.3	8.9	9.3	6.0	9.2	4.8	5.2	5.5	6.4	6.4	7.3	10.6	8.0	3.9	9.4	4.6
1999-01-01	8.4	2.9	3.9	5.5	5.9	8.6	8.6	7.2	6.2	8.7	5.5	11.8	7.5	8.5	6.5	6.3	8.3	8.5	10.0	5.3	7.6	7.9	9.2	6.0	10.7	5.0	5.1	5.3	5.1	6.5	5.8	8.7	7.5	3.9	9.5	4.6
2000-01-01	7.1	3.8	4.0	5.0	5.5	7.3	7.2	7.0	5.3	7.3	4.8	9.6	8.4	6.6	5.6	5.3	7.0	7.3	8.3	5.4	6.4	6.6	7.6	5.5	7.7	4.6	4.8	6.2	5.2	6.1	5.5	7.5	6.1	3.9	7.2	4.9
2001-01-01	8.5	4.5	5.2	5.8	7.7	8.4	8.5	7.2	6.5	8.4	6.0	9.3	12.4	7.6	6.6	6.8	8.4	8.6	9.3	6.8	7.2	7.7	8.3	6.4	7.7	6.3	5.7	10.1	6.2	7.0	6.3	9.2	8.7	5.5	8.2	6.1
2002-01-01	9.0	5.3	6.9	6.9	9.4	8.8	9.2	8.0	7.7	8.8	6.5	9.4	9.6	8.2	7.4	6.8	8.7	8.9	8.8	7.1	8.1	9.0	8.9	7.2	7.5	8.0	6.3	10.0	6.7	7.7	6.5	8.5	9.0	6.9	7.7	7.3
2003-01-01	9.5	5.8	7.5	7.5	10.4	9.2	9.6	8.4	7.8	9.8	6.8	10.4	10.9	8.5	7.7	7.0	9.0	9.8	9.6	8.0	9.0	10.1	9.8	8.0	8.1	8.4	6.8	10.8	7.4	8.2	7.3	9.8	9.7	7.4	7.8	8.1
2004-01-01	8.9	5.4	6.7	6.8	9.1	9.0	8.3	7.5	6.8	9.3	6.1	9.8	9.5	7.4	7.1	6.3	8.3	9.4	9.8	7.3	8.1	9.1	9.8	7.6	8.1	7.4	6.6	9.1	7.1	8.0	7.3	9.0	8.6	6.2	7.8	7.2
2005-01-01	7.4	4.9	5.5	5.8	7.3	7.6	7.0	6.9	5.7	8.2	5.8	9.7	8.8	6.3	6.2	6.0	7.3	7.7	8.5	6.1	6.9	7.5	8.7	6.5	7.6	6.1	5.6	6.8	6.2	7.9	6.8	7.5	7.1	5.2	6.3	6.1
2006-01-01	6.3	4.7	4.8	5.0	5.7	6.7	5.9	6.8	4.6	7.4	4.8	8.3	8.0	5.4	5.7	5.6	6.6	6.6	7.5	5.4	6.0	6.5	6.3	5.6	6.5	5.1	4.9	5.9	5.5	6.7	5.9	6.5	5.4	4.4	6.5	5.1
2007-01-01	5.8	4.1	4.6	4.7	5.7	6.6	6.2	6.5	5.0	7.7	4.5	8.0	7.3	4.5	5.6	6.7	7.0	6.9	7.3	5.2	5.5	6.3	5.6	5.4	5.4	4.9	4.9	4.8	4.9	5.8	5.5	6.1	4.9	4.3	5.6	5.0
2008-01-01	7.1	4.7	5.7	5.3	7.1	8.3	9.9	8.1	8.2	9.9	4.3	10.6	9.5	5.4	7.9	10.1	9.2	9.2	8.6	6.7	6.6	7.8	7.5	6.6	6.4	5.9	5.6	5.9	5.5	6.6	8.1	7.6	6.1	5.3	6.0	6.5
2009-01-01	10.4	8.0	10.4	9.1	13.3	13.0	18.2	13.2	14.9	15.7	6.9	13.7	16.3	8.2	12.8	15.0	14.5	14.1	12.6	12.3	10.6	14.0	10.9	11.1	9.4	10.6	9.5	9.1	9.6	9.8	11.6	12.0	9.1	9.5	9.1	11.6
2010-01-01	10.3	7.1	10.1	10.0	12.9	12.7	15.9	12.6	13.8	14.0	9.0	13.7	14.2	8.3	12.5	13.7	14.0	12.9	13.5	11.0	11.0	12.8	9.7	11.2	9.3	9.6	9.7	11.7	10.5	10.3	10.3	12.9	9.6	9.0	9.5	10.4
2011-01-01	10.9	6.4	8.9	9.4	11.3	11.6	14.3	12.0	12.3	12.7	9.7	13.8	13.3	7.9	11.7	12.7	12.6	12.0	13.1	9.7	10.4	11.4	9.4	10.5	8.2	8.3	9.3	11.1	9.9	9.5	10.0	12.2	8.8	7.7	8.5	9.2
2012-01-01	10.6	6.0	8.0	8.7	10.7	11.1	13.6	11.8	11.3	11.9	10.1	14.0	11.8	7.3	11.1	11.8	12.2	11.7	13.0	8.9	9.9	10.7	9.4	10.0	8.1	7.6	8.9	10.7	9.7	9.1	9.4	11.5	8.4	7.1	6.9	8.5
2013-01-01	9.7	5.7	7.1	7.8	9.7	10.3	12.1	10.6	9.5	10.6	9.6	12.4	11.6	6.3	9.8	10.5	11.1	10.8	11.4	8.0	8.8	9.7	8.5	8.9	7.7	6.8	8.1	9.3	8.4	8.8	8.5	11.2	7.6	6.3	6.3	7.6
2014-01-01	8.4	5.1	6.2	6.6	8.4	9.0	9.8	10.1	7.8	9.2	8.1	10.5	9.6	5.5	8.4	8.9	9.4	9.4	9.6	6.9	7.8	8.1	7.9	7.4	6.9	5.9	6.8	7.5	6.9	7.8	7.3	10.0	6.6	5.6	6.3	6.5
2015-01-01	6.7	4.2	5.1	5.5	7.2	7.4	8.3	8.2	5.9	7.5	6.4	8.7	7.2	4.7	6.8	7.3	7.7	7.8	7.7	5.8	6.6	6.7	6.4	6.0	5.7	4.9	5.6	6.1	5.6	6.4	6.2	7.8	5.6	4.7	5.2	5.3
2016-01-01	6.4	3.9	4.4	4.8	6.2	6.5	7.0	6.9	4.9	6.4	5.9	7.8	6.3	4.2	5.8	6.7	6.6	6.9	6.4	5.1	5.7	5.8	5.6	5.1	5.0	4.3	5.1	4.6	5.0	5.4	5.9	6.7	4.9	4.2	4.3	4.7
