DATE	LAUCN420010000000003A	LAUCN420030000000003A	LAUCN420050000000003A	LAUCN420070000000003A	LAUCN420090000000003A	LAUCN420110000000003A	LAUCN420130000000003A	LAUCN420150000000003A	LAUCN420170000000003A	LAUCN420190000000003A	LAUCN420210000000003A	LAUCN420230000000003A	LAUCN420250000000003A	LAUCN420270000000003A	LAUCN420290000000003A	LAUCN420310000000003A	LAUCN420330000000003A	LAUCN420350000000003A	LAUCN420370000000003A	LAUCN420390000000003A	LAUCN420410000000003A	LAUCN420430000000003A	LAUCN420450000000003A	LAUCN420470000000003A	LAUCN420490000000003A	LAUCN420510000000003A	LAUCN420530000000003A	LAUCN420550000000003A	LAUCN420570000000003A	LAUCN420590000000003A	LAUCN420610000000003A	LAUCN420630000000003A	LAUCN420650000000003A	LAUCN420670000000003A	LAUCN420690000000003A	LAUCN420710000000003A	LAUCN420730000000003A	LAUCN420750000000003A	LAUCN420770000000003A	LAUCN420790000000003A	LAUCN420810000000003A	LAUCN420830000000003A	LAUCN420850000000003A	LAUCN420870000000003A	LAUCN420890000000003A	LAUCN420910000000003A	LAUCN420930000000003A	LAUCN420950000000003A	LAUCN420970000000003A	LAUCN420990000000003A	LAUCN421010000000003A	LAUCN421030000000003A	LAUCN421050000000003A	LAUCN421070000000003A	LAUCN421090000000003A	LAUCN421110000000003A	LAUCN421130000000003A	LAUCN421150000000003A	LAUCN421170000000003A	LAUCN421190000000003A	LAUCN421210000000003A	LAUCN421230000000003A	LAUCN421250000000003A	LAUCN421270000000003A	LAUCN421290000000003A	LAUCN421310000000003A	LAUCN421330000000003A
1990-01-01	4.8	4.4	7.6	5.9	8.9	5.3	7.4	5.7	4.3	5.5	7.5	7.2	7.5	4.2	3.3	8.0	9.6	10.0	7.0	7.4	3.7	4.8	4.0	6.1	5.8	8.6	8.3	5.0	7.2	8.3	9.9	7.3	7.2	9.2	7.1	4.2	6.5	4.9	5.1	7.5	7.4	6.6	5.5	7.9	6.9	3.8	5.0	5.4	9.1	5.7	6.3	5.7	7.3	7.8	7.9	7.1	7.3	6.8	7.7	6.0	5.7	4.5	5.8	6.7	5.9	6.8	4.7
1991-01-01	5.2	5.4	10.2	7.2	10.7	6.5	9.4	7.4	7.1	6.8	9.2	9.1	9.7	4.5	4.8	9.1	12.0	11.3	8.9	9.4	4.3	5.2	5.9	9.5	7.3	10.1	11.7	6.3	8.7	10.9	12.6	9.5	9.4	9.9	8.4	4.7	9.4	5.7	6.5	9.2	8.4	8.1	7.4	9.3	9.8	5.5	5.6	6.4	10.1	6.4	8.9	8.3	8.8	10.0	7.5	9.1	12.8	8.7	8.3	7.7	8.4	6.7	7.1	10.2	7.0	8.6	5.6
1992-01-01	5.9	6.3	10.9	7.8	10.9	6.7	9.0	7.9	7.4	7.0	11.0	10.1	10.8	4.6	5.3	9.3	10.9	9.9	9.3	9.4	4.4	5.3	7.0	7.3	7.7	10.6	12.9	6.0	7.9	12.0	13.2	11.1	10.3	12.4	8.9	4.8	10.5	5.4	7.0	10.4	8.6	9.1	9.1	10.5	11.0	6.3	5.9	7.5	9.6	6.3	9.4	8.4	10.1	9.7	7.3	9.9	10.9	9.6	7.7	6.9	9.4	7.9	7.6	10.6	7.7	10.4	6.3
1993-01-01	5.2	6.3	10.3	7.5	9.4	5.8	7.2	6.9	6.4	6.7	11.3	8.4	8.4	4.2	4.7	8.1	9.6	9.2	8.2	7.8	3.5	4.7	6.2	5.3	7.0	9.7	11.4	5.4	6.7	11.9	11.6	11.0	7.7	9.1	8.5	4.1	9.8	4.9	6.3	8.9	8.3	8.4	10.6	7.7	9.8	5.5	4.2	6.4	8.9	4.9	9.3	7.6	8.7	8.7	5.8	9.9	6.9	8.9	7.5	5.6	8.8	6.9	7.7	9.8	7.8	9.5	5.3
1994-01-01	4.6	5.7	11.0	6.8	9.0	4.9	6.7	6.4	5.3	6.5	9.5	6.6	8.1	3.6	4.1	8.5	8.7	10.7	6.9	7.4	3.2	4.3	5.5	5.3	6.8	9.7	14.2	4.7	7.3	11.1	11.1	10.3	7.4	7.9	7.6	3.8	8.8	4.5	5.6	8.5	7.4	7.8	7.0	6.7	8.8	5.0	3.5	5.9	7.4	4.8	8.1	7.4	7.6	8.3	4.7	9.1	5.6	8.1	6.4	3.9	8.7	5.7	7.3	9.4	7.2	8.2	4.5
1995-01-01	4.3	5.3	9.4	6.0	8.1	4.7	6.4	5.9	5.1	5.5	8.2	6.5	7.6	3.3	3.9	8.2	8.5	9.7	7.4	6.4	3.2	3.9	5.5	5.7	6.4	9.6	11.5	4.5	5.5	10.4	10.2	9.2	7.5	8.7	6.8	3.5	7.0	4.3	5.4	8.4	7.3	6.3	5.0	7.0	8.6	4.4	3.6	5.4	7.0	4.4	7.7	6.0	7.4	7.9	5.5	8.5	6.0	7.2	7.0	4.4	7.3	4.9	6.7	8.9	6.7	7.7	4.2
1996-01-01	4.7	4.6	7.8	5.1	7.7	4.4	5.9	5.6	4.5	5.1	8.3	7.5	7.7	3.0	3.4	7.3	8.4	8.3	7.4	5.9	2.9	3.6	4.9	6.3	6.0	8.2	10.0	5.0	5.5	9.0	10.5	8.5	7.9	9.1	7.1	3.4	6.5	3.9	5.3	7.3	6.7	6.1	4.5	8.6	8.1	3.9	4.5	5.5	7.0	4.1	7.2	5.1	7.2	8.4	6.4	7.7	6.7	7.3	7.4	4.9	7.2	5.2	5.6	8.7	5.8	7.9	4.5
1997-01-01	4.7	4.3	7.6	5.0	7.3	4.2	5.5	5.5	4.1	4.8	7.9	6.6	7.2	3.0	3.1	6.5	8.1	7.5	7.1	5.6	2.8	3.4	4.5	6.0	5.8	8.2	9.9	4.8	7.8	8.9	10.2	8.0	7.1	7.8	7.0	2.9	6.3	3.3	4.6	7.2	6.4	6.5	5.2	7.0	7.8	3.6	4.3	5.0	7.0	3.8	6.8	5.1	7.3	7.6	4.9	7.3	6.9	7.1	6.6	4.4	6.6	5.2	5.3	8.1	5.5	8.2	4.1
1998-01-01	4.1	4.1	6.9	5.0	6.3	4.3	5.0	4.7	3.6	4.2	6.7	6.7	7.2	2.8	2.7	5.3	8.1	6.9	5.7	5.0	2.6	3.1	3.9	6.0	5.2	7.1	8.7	3.9	4.4	8.0	8.2	7.4	7.0	7.9	5.8	2.9	5.9	3.5	4.3	6.4	5.7	6.4	4.2	6.5	6.5	3.2	3.1	4.3	6.0	3.4	6.2	4.3	7.0	6.8	4.9	6.4	6.5	5.2	5.6	3.8	5.4	4.6	5.1	6.7	5.2	7.2	3.7
1999-01-01	3.6	3.9	6.3	4.8	6.0	4.1	4.5	4.1	3.4	4.1	5.8	8.1	6.7	2.7	2.6	4.9	7.7	5.6	5.2	5.4	2.7	3.8	3.7	6.0	5.0	6.8	7.5	4.6	4.2	7.3	8.4	6.8	7.0	5.9	5.2	2.7	5.7	3.1	3.9	5.9	5.0	5.3	5.0	6.7	6.1	3.0	2.6	4.0	5.0	3.8	6.1	3.5	5.2	6.8	4.1	5.7	6.2	4.9	4.7	3.0	5.8	4.0	4.8	6.0	4.8	5.6	3.6
