DATE	LAUCN440010000000003A	LAUCN440030000000003A	LAUCN440050000000003A	LAUCN440070000000003A	LAUCN440090000000003A
1990-01-01	6.7	5.9	5.9	6.9	4.6
1991-01-01	8.4	8.5	8.3	9.1	6.3
1992-01-01	9.1	8.8	8.5	9.4	6.6
1993-01-01	7.7	7.4	8.1	8.1	6.0
1994-01-01	6.3	6.8	7.1	7.3	5.1
1995-01-01	5.2	6.3	6.0	6.8	4.7
1996-01-01	4.4	5.4	5.3	5.9	3.9
1997-01-01	4.2	5.0	5.0	5.6	3.7
1998-01-01	3.5	4.4	4.5	5.1	3.4
1999-01-01	3.1	3.9	3.7	4.6	3.2
2000-01-01	3.6	3.9	3.7	4.4	3.3
2001-01-01	3.7	4.2	3.9	5.1	3.6
2002-01-01	4.3	4.7	4.4	5.5	4.0
2003-01-01	4.6	5.0	4.7	5.9	4.1
2004-01-01	4.4	4.9	4.6	5.6	4.2
2005-01-01	4.3	4.8	4.6	5.4	4.1
2006-01-01	4.3	4.7	4.5	5.3	4.1
2007-01-01	4.5	5.0	4.5	5.6	4.3
2008-01-01	6.8	7.4	6.8	8.4	6.6
2009-01-01	10.1	10.4	9.8	11.9	8.9
2010-01-01	9.6	11.1	9.7	11.9	9.9
2011-01-01	9.3	10.7	9.7	11.7	9.9
2012-01-01	8.7	10.0	9.0	11.0	9.5
2013-01-01	7.7	8.8	8.0	9.8	8.4
2014-01-01	6.5	7.2	6.7	8.2	7.1
2015-01-01	5.1	5.6	5.2	6.4	5.5
2016-01-01	4.6	4.8	4.7	5.7	4.8
