DATE	LAUCN460030000000003A	LAUCN460050000000003A	LAUCN460070000000003A	LAUCN460090000000003A	LAUCN460110000000003A	LAUCN460130000000003A	LAUCN460150000000003A	LAUCN460170000000003A	LAUCN460190000000003A	LAUCN460210000000003A	LAUCN460230000000003A	LAUCN460250000000003A	LAUCN460270000000003A	LAUCN460290000000003A	LAUCN460310000000003A	LAUCN460330000000003A	LAUCN460350000000003A	LAUCN460370000000003A	LAUCN460390000000003A	LAUCN460410000000003A	LAUCN460430000000003A	LAUCN460450000000003A	LAUCN460470000000003A	LAUCN460490000000003A	LAUCN460510000000003A	LAUCN460530000000003A	LAUCN460550000000003A	LAUCN460570000000003A	LAUCN460590000000003A	LAUCN460610000000003A	LAUCN460630000000003A	LAUCN460650000000003A	LAUCN460670000000003A	LAUCN460690000000003A	LAUCN460710000000003A	LAUCN460730000000003A	LAUCN460750000000003A	LAUCN460770000000003A	LAUCN460790000000003A	LAUCN460810000000003A	LAUCN460830000000003A	LAUCN460850000000003A	LAUCN460870000000003A	LAUCN460890000000003A	LAUCN460910000000003A	LAUCN460930000000003A	LAUCN460950000000003A	LAUCN460970000000003A	LAUCN460990000000003A	LAUCN461010000000003A	LAUCN461020000000003A	LAUCN461030000000003A	LAUCN461050000000003A	LAUCN461070000000003A	LAUCN461090000000003A	LAUCN461110000000003A	LAUCN461150000000003A	LAUCN461170000000003A	LAUCN461190000000003A	LAUCN461210000000003A	LAUCN461230000000003A	LAUCN461250000000003A	LAUCN461270000000003A	LAUCN461290000000003A	LAUCN461350000000003A	LAUCN461370000000003A
1990-01-01	1.8	4.3	5.4	1.2	5.1	5.5	2.3	9.4	3.5	3.0	3.9	3.5	4.6	4.5	20.2	2.6	2.7	5.1	4.1	11.6	2.8	3.7	4.5	1.8	4.3	2.8	2.7	3.9	1.9	2.7	2.5	2.6	2.2	3.7	5.9	3.4	5.1	2.5	4.7	4.4	2.5	4.2	3.0	3.2	4.5	3.6	6.3	2.6	2.7	4.5	14.0	3.3	2.5	2.7	5.9	1.8	2.6	4.4	2.4	10.4	2.9	2.3	7.5	3.2	2.0	8.3
1991-01-01	3.0	4.2	4.9	2.8	3.0	3.1	3.0	9.1	3.7	4.5	4.0	3.7	2.7	4.0	21.3	4.0	2.4	5.2	3.5	13.1	2.6	2.1	4.8	2.1	4.7	2.3	3.5	3.8	3.1	2.2	2.8	2.8	2.3	2.4	4.0	2.7	4.4	2.5	3.3	3.2	2.1	5.6	3.1	2.4	3.0	4.0	5.7	2.3	2.5	5.3	16.0	3.7	2.4	2.8	5.7	3.3	3.1	3.6	2.8	9.7	3.0	2.6	7.0	3.0	2.6	7.7
1992-01-01	3.2	3.0	5.1	2.6	1.8	2.6	3.2	9.4	4.6	2.5	3.9	4.6	1.2	3.7	23.3	3.4	3.0	4.4	4.1	12.3	2.4	2.0	3.8	1.8	6.0	3.1	3.7	4.2	3.1	2.3	4.6	2.6	2.7	2.2	4.2	2.3	4.2	4.5	2.9	3.0	2.3	3.7	3.7	2.0	3.2	3.8	5.9	4.7	2.4	5.7	14.8	3.3	2.5	4.2	5.4	2.7	3.0	3.6	3.3	8.6	3.0	3.0	4.2	2.9	1.9	6.1
1993-01-01	3.7	2.8	4.9	2.4	2.0	2.4	3.7	7.0	4.9	3.2	3.7	4.6	1.4	3.9	21.7	4.6	2.9	4.2	4.3	12.1	3.0	1.7	3.7	2.4	5.0	3.7	4.4	4.1	2.6	3.0	4.1	2.7	2.4	3.0	6.2	3.5	4.0	3.8	3.6	3.1	2.0	4.6	3.0	2.0	2.9	3.8	6.9	5.2	2.3	6.3	15.2	3.6	2.6	3.3	5.2	3.4	2.9	3.3	2.5	8.8	3.3	3.5	4.4	3.4	2.1	7.5
1994-01-01	3.9	2.6	5.2	2.5	1.9	2.3	3.8	11.8	4.0	3.6	3.9	3.9	1.2	3.4	8.9	5.5	2.5	4.5	3.6	13.0	2.8	1.8	3.6	2.2	5.4	4.0	4.2	3.5	2.5	2.4	4.2	2.6	3.0	2.9	6.4	3.6	3.7	3.4	3.3	3.4	2.0	4.6	2.9	2.1	3.5	3.7	8.4	5.2	2.4	5.9	15.7	3.4	2.2	4.2	5.3	3.3	3.0	3.5	3.2	10.7	3.2	3.4	3.9	3.8	1.8	7.7
1995-01-01	3.1	2.7	5.4	2.1	1.5	2.0	4.2	10.4	3.8	2.8	3.5	3.9	1.1	3.1	7.7	4.8	2.9	4.9	3.2	13.4	3.5	1.6	2.6	2.6	4.7	3.7	3.5	3.1	2.8	2.7	3.7	2.7	3.1	4.1	5.9	3.3	3.4	3.7	2.5	3.4	1.6	4.3	2.5	3.2	3.2	3.4	5.5	4.8	2.2	5.5	14.0	3.1	2.4	3.8	4.8	3.6	3.1	3.4	3.4	8.1	3.4	3.3	3.6	4.2	2.0	6.9
1996-01-01	3.0	2.8	4.9	2.5	1.6	2.1	3.8	10.1	4.5	3.1	3.4	3.9	1.3	3.1	9.3	6.1	3.3	4.4	3.5	13.2	2.5	1.7	3.8	2.8	4.0	3.5	3.6	3.4	2.5	2.9	4.0	2.7	3.1	3.3	5.4	3.6	3.3	3.8	3.1	3.8	1.8	4.2	2.5	4.2	3.5	3.6	7.2	8.6	2.1	4.8	14.9	3.3	3.2	3.5	5.0	4.4	2.7	3.3	4.1	8.7	3.1	3.0	3.9	3.8	2.3	6.5
1997-01-01	2.4	4.7	4.5	2.1	1.6	2.1	4.2	12.4	5.1	3.5	3.3	3.9	1.1	3.2	7.4	4.9	2.5	4.7	3.1	11.4	2.3	1.8	3.7	2.1	3.7	2.8	3.6	3.5	2.8	2.5	2.8	2.5	2.5	3.3	5.3	3.7	3.7	3.6	2.3	3.4	1.5	5.1	2.9	2.4	3.0	3.1	7.7	3.4	1.9	4.9	11.6	3.0	2.7	3.5	5.2	3.6	2.8	2.9	2.9	8.4	3.0	2.5	3.3	3.5	2.3	9.7
1998-01-01	2.8	3.9	3.8	1.8	1.5	2.3	3.4	9.5	4.2	3.3	4.0	3.1	0.9	3.2	6.2	4.2	2.2	5.9	3.2	14.4	2.8	1.6	3.0	2.3	4.1	3.2	3.4	2.6	2.5	2.2	3.0	2.2	2.2	2.9	5.1	2.7	2.9	3.9	2.4	4.1	1.3	4.5	2.8	2.1	4.0	2.9	6.9	3.4	1.7	4.8	12.4	2.5	2.9	3.2	5.5	3.1	3.5	2.5	3.0	7.7	2.7	2.3	3.1	3.5	2.3	11.8
1999-01-01	2.1	2.8	4.9	2.0	1.5	2.3	3.6	10.2	3.9	3.0	3.2	4.4	0.7	3.5	7.4	4.1	2.2	6.8	3.7	12.6	2.2	1.9	3.7	2.2	3.7	4.1	3.1	3.1	2.0	2.3	3.8	2.0	2.5	2.4	5.9	2.3	2.6	4.4	2.5	3.6	1.5	4.6	2.3	2.4	5.8	2.7	6.6	3.5	1.7	5.1	12.6	2.4	3.0	3.5	5.2	2.7	3.3	2.2	2.7	7.0	2.9	2.0	2.7	3.1	2.1	13.7
