DATE	LAUCN090010000000003A	LAUCN090030000000003A	LAUCN090050000000003A	LAUCN090070000000003A	LAUCN090090000000003A	LAUCN090110000000003A	LAUCN090130000000003A	LAUCN090150000000003A
1990-01-01	4.7	5.2	4.7	4.1	5.6	5.7	4.0	7.2
1991-01-01	5.8	6.9	6.4	5.7	7.0	6.6	5.7	8.7
1992-01-01	6.8	8.0	7.3	6.6	8.1	7.2	6.6	9.2
1993-01-01	5.7	7.3	6.4	6.3	7.0	6.3	6.1	7.9
1994-01-01	4.9	6.2	5.1	5.3	6.1	5.2	4.9	6.7
1995-01-01	4.8	6.1	4.7	5.2	5.8	5.3	4.9	6.6
1996-01-01	4.7	6.1	4.6	5.5	5.9	5.7	4.4	6.7
1997-01-01	4.2	5.5	4.2	4.8	5.4	5.5	3.9	6.5
1998-01-01	3.0	3.7	2.8	3.2	3.7	4.0	2.7	4.7
1999-01-01	2.6	3.2	2.4	2.5	3.1	3.0	2.2	3.4
2000-01-01	2.1	2.6	2.1	2.1	2.6	2.4	1.9	2.7
2001-01-01	3.0	3.4	2.9	2.7	3.4	2.8	2.4	3.3
2002-01-01	4.1	4.7	4.1	3.7	4.7	3.9	3.4	4.6
2003-01-01	4.9	6.0	5.0	4.8	5.8	4.8	4.4	6.0
2004-01-01	4.5	5.5	4.8	4.2	5.3	4.5	4.1	5.6
2005-01-01	4.4	5.3	4.6	4.3	5.3	4.5	4.2	5.5
2006-01-01	3.8	4.7	4.0	3.7	4.8	4.1	3.8	5.2
2007-01-01	3.9	4.9	4.2	3.9	4.9	4.2	3.8	5.2
2008-01-01	5.2	6.0	5.3	4.8	6.2	5.4	4.8	6.6
2009-01-01	7.5	8.3	7.9	6.7	8.6	7.5	6.6	8.8
2010-01-01	8.4	9.5	8.6	7.8	10.0	8.9	7.7	10.2
2011-01-01	8.2	9.2	8.0	7.5	9.7	8.8	7.4	9.7
2012-01-01	7.8	8.7	7.5	7.0	9.1	8.6	7.1	9.4
2013-01-01	7.2	8.0	6.9	6.5	8.4	8.0	6.6	8.7
2014-01-01	6.2	6.9	5.9	5.6	7.2	6.8	5.6	7.3
2015-01-01	5.4	5.9	5.1	4.9	6.2	5.9	4.9	6.3
2016-01-01	4.8	5.3	4.6	4.4	5.5	5.0	4.4	5.5
