DATE	LAUCN150010000000003A	LAUCN150030000000003A	LAUCN150070000000003A	LAUCN150090000000003A
1990-01-01	3.9	2.1	3.9	4.6
1991-01-01	4.6	2.1	4.3	5.6
1992-01-01	7.7	2.8	9.9	8.2
1993-01-01	7.8	3.2	13.3	5.5
1994-01-01	9.9	4.2	13.1	6.2
1995-01-01	10.2	4.6	11.4	7.3
1996-01-01	9.8	5.2	12.0	7.2
1997-01-01	9.9	5.1	11.0	7.3
1998-01-01	9.4	5.2	9.7	6.6
1999-01-01	8.4	4.7	7.4	5.5
2000-01-01	5.0	4.1	4.8	3.9
2001-01-01	5.3	4.3	5.4	4.3
2002-01-01	4.8	4.1	4.6	4.1
2003-01-01	4.9	4.0	4.2	4.0
2004-01-01	4.1	3.3	3.5	3.2
2005-01-01	3.4	2.8	2.8	2.7
2006-01-01	3.1	2.5	2.6	2.5
2007-01-01	3.6	2.6	2.7	2.9
2008-01-01	6.0	3.8	4.8	4.9
2009-01-01	10.2	6.0	9.8	9.1
2010-01-01	9.9	6.0	8.8	8.5
2011-01-01	9.8	5.9	8.7	7.9
2012-01-01	8.3	5.4	7.3	6.4
2013-01-01	6.6	4.4	5.6	5.1
2014-01-01	5.5	4.1	4.8	4.5
2015-01-01	4.4	3.4	4.0	3.7
2016-01-01	3.8	2.8	3.3	3.2
