DATE	LAUCN270010000000003A	LAUCN270030000000003A	LAUCN270050000000003A	LAUCN270070000000003A	LAUCN270090000000003A	LAUCN270110000000003A	LAUCN270130000000003A	LAUCN270150000000003A	LAUCN270170000000003A	LAUCN270190000000003A	LAUCN270210000000003A	LAUCN270230000000003A	LAUCN270250000000003A	LAUCN270270000000003A	LAUCN270290000000003A	LAUCN270310000000003A	LAUCN270330000000003A	LAUCN270350000000003A	LAUCN270370000000003A	LAUCN270390000000003A	LAUCN270410000000003A	LAUCN270430000000003A	LAUCN270450000000003A	LAUCN270470000000003A	LAUCN270490000000003A	LAUCN270510000000003A	LAUCN270530000000003A	LAUCN270550000000003A	LAUCN270570000000003A	LAUCN270590000000003A	LAUCN270610000000003A	LAUCN270630000000003A	LAUCN270650000000003A	LAUCN270670000000003A	LAUCN270690000000003A	LAUCN270710000000003A	LAUCN270730000000003A	LAUCN270750000000003A	LAUCN270770000000003A	LAUCN270790000000003A	LAUCN270810000000003A	LAUCN270830000000003A	LAUCN270850000000003A	LAUCN270870000000003A	LAUCN270890000000003A	LAUCN270910000000003A	LAUCN270930000000003A	LAUCN270950000000003A	LAUCN270970000000003A	LAUCN270990000000003A	LAUCN271010000000003A	LAUCN271030000000003A	LAUCN271050000000003A	LAUCN271070000000003A	LAUCN271090000000003A	LAUCN271110000000003A	LAUCN271130000000003A	LAUCN271150000000003A	LAUCN271170000000003A	LAUCN271190000000003A	LAUCN271210000000003A	LAUCN271230000000003A	LAUCN271250000000003A	LAUCN271270000000003A	LAUCN271290000000003A	LAUCN271310000000003A	LAUCN271330000000003A	LAUCN271350000000003A	LAUCN271370000000003A	LAUCN271390000000003A	LAUCN271410000000003A	LAUCN271430000000003A	LAUCN271450000000003A	LAUCN271470000000003A	LAUCN271490000000003A	LAUCN271510000000003A	LAUCN271530000000003A	LAUCN271550000000003A	LAUCN271570000000003A	LAUCN271590000000003A	LAUCN271610000000003A	LAUCN271630000000003A	LAUCN271650000000003A	LAUCN271670000000003A	LAUCN271690000000003A	LAUCN271710000000003A	LAUCN271730000000003A
1990-01-01	10.5	4.5	7.4	7.5	6.3	4.2	3.7	4.2	7.4	3.6	9.7	4.9	6.9	5.3	16.5	8.8	6.3	7.1	3.6	5.3	5.7	5.0	4.6	11.4	3.6	6.6	4.0	3.5	9.3	5.9	10.5	4.4	10.4	4.6	7.9	7.0	3.4	6.7	3.2	5.8	4.2	4.3	4.3	11.5	12.5	4.5	6.5	7.5	9.5	4.3	4.9	3.9	3.5	5.9	2.8	6.1	9.3	10.7	6.4	7.1	5.6	4.0	15.4	3.2	6.1	4.4	2.6	4.6	6.4	4.5	5.5	5.0	5.6	3.5	5.6	4.7	7.8	5.1	4.4	7.0	3.8	3.7	3.5	4.8	5.7	5.6	4.3
1991-01-01	11.2	5.0	7.7	7.9	6.1	5.1	3.8	4.4	8.1	4.0	9.5	5.7	7.2	4.7	17.4	6.8	6.2	7.2	4.2	6.1	5.4	6.2	5.4	5.8	4.0	6.5	4.4	4.2	9.0	7.1	10.1	4.8	10.2	5.0	7.9	12.8	3.5	8.8	3.6	6.6	4.0	3.8	4.5	11.5	13.7	6.3	8.8	9.0	10.0	3.8	4.7	3.5	3.5	7.0	2.8	6.5	10.6	11.4	4.8	6.1	5.8	4.4	14.9	2.9	5.6	5.3	2.7	7.0	7.0	5.1	6.0	5.6	5.7	4.9	4.4	5.7	8.3	5.0	5.2	7.5	4.7	4.3	4.8	5.1	5.9	6.3	4.8
1992-01-01	11.9	4.8	11.2	7.9	5.5	5.1	3.7	5.0	8.6	3.9	10.1	6.7	6.8	4.0	18.0	6.4	7.6	7.8	4.0	5.9	5.9	5.8	5.5	4.4	3.9	6.6	4.3	4.0	9.5	6.7	11.5	5.3	10.1	5.0	7.9	10.4	4.6	9.8	5.5	6.1	4.3	3.6	5.2	8.7	13.4	5.9	8.6	7.9	9.4	3.7	5.9	3.4	4.0	7.5	2.9	6.9	9.5	10.2	4.7	6.1	5.6	4.4	16.2	3.7	6.7	5.6	2.9	4.6	7.6	4.7	5.7	6.6	5.0	4.7	4.2	6.5	8.3	5.4	4.8	7.1	5.0	4.1	4.6	3.9	5.0	5.9	5.4
1993-01-01	12.0	4.7	11.0	7.6	5.5	6.1	3.5	4.8	8.2	3.5	10.0	5.5	6.7	3.9	18.3	5.6	5.9	7.8	3.6	6.4	5.8	6.5	5.8	5.5	4.4	6.1	4.1	4.6	9.1	6.6	12.2	4.9	10.7	4.6	7.1	11.7	4.3	7.9	4.3	5.9	4.9	3.5	5.1	9.5	12.6	7.5	8.1	8.2	9.4	3.8	5.8	3.3	4.0	6.8	3.1	7.3	8.0	9.6	5.4	5.7	5.9	4.0	13.6	4.5	6.4	5.2	2.8	5.2	7.5	4.3	5.7	7.3	4.9	4.1	4.1	5.5	7.7	5.3	4.6	6.4	5.7	3.8	4.1	3.9	4.7	5.7	5.1
1994-01-01	10.6	3.5	8.0	6.7	4.4	5.3	2.8	3.9	7.9	2.8	8.7	5.8	5.2	3.7	15.3	5.7	5.4	6.8	2.9	5.9	4.2	5.0	5.1	6.8	4.1	4.9	3.2	3.1	8.0	4.8	11.8	5.0	8.5	4.0	6.3	9.8	3.8	6.2	4.3	4.7	4.9	3.4	3.9	8.0	10.9	4.9	6.5	7.3	7.8	3.9	5.3	2.7	3.3	5.7	3.5	5.6	6.2	9.0	3.7	5.7	4.9	3.3	11.6	3.2	6.1	4.8	2.8	3.8	6.5	3.2	4.1	5.7	4.1	3.7	3.8	4.7	6.9	4.2	4.3	5.8	4.3	2.9	3.5	3.9	3.7	4.3	5.4
1995-01-01	9.5	3.1	7.7	6.6	4.4	4.9	3.3	3.8	7.0	2.4	8.3	5.3	4.6	3.8	15.3	5.8	7.0	6.3	2.5	5.5	4.4	5.3	4.7	4.7	3.8	4.9	2.9	3.6	6.9	4.6	9.6	4.8	8.1	3.6	6.5	8.6	3.5	5.3	4.2	4.5	5.2	3.5	3.6	7.1	10.0	4.5	6.2	8.1	7.7	3.2	5.7	2.9	4.0	5.4	2.9	5.6	6.2	8.1	3.4	5.1	4.2	3.0	10.5	3.1	5.0	4.1	2.5	3.7	5.7	3.1	4.0	5.3	4.1	3.9	3.5	4.7	7.0	4.9	4.1	5.4	3.6	2.6	4.3	4.1	3.7	4.0	5.1
1996-01-01	9.7	3.2	8.0	7.2	5.1	4.5	3.4	4.5	7.2	2.4	9.1	4.9	4.9	4.2	15.1	5.5	7.2	6.8	2.6	5.6	4.6	5.1	5.1	4.4	4.3	5.8	3.0	3.9	8.3	5.0	9.6	5.0	9.5	4.2	7.0	7.9	3.5	5.7	5.0	4.9	5.1	3.6	3.8	9.5	11.9	5.0	6.7	9.0	8.6	3.4	5.8	3.0	3.7	6.0	3.0	6.0	6.4	8.8	3.6	5.7	4.8	3.2	12.3	3.9	5.6	4.1	2.8	5.7	5.7	3.1	4.1	5.5	4.9	3.6	3.5	5.2	7.8	5.2	4.6	6.8	4.3	2.7	4.1	3.8	3.9	4.1	5.5
1997-01-01	8.4	2.6	7.4	6.2	4.3	3.8	2.7	4.6	6.2	2.1	7.4	4.4	4.0	2.9	13.0	4.7	4.7	5.9	2.0	4.3	3.8	4.3	3.8	3.5	3.2	5.1	2.4	3.0	6.6	4.1	8.6	3.5	7.7	3.5	6.1	7.1	3.6	5.1	4.5	4.1	4.5	3.2	3.2	9.7	11.2	3.6	5.4	7.5	7.4	2.7	5.0	2.4	3.9	7.6	2.2	5.1	5.5	7.6	3.4	5.6	3.8	2.7	10.5	3.2	4.5	3.3	2.4	5.4	4.9	2.5	3.3	4.7	4.1	3.1	3.0	4.1	6.9	4.5	3.3	5.8	3.1	2.1	3.4	2.5	3.2	3.4	4.6
1998-01-01	8.0	2.0	5.9	4.8	3.4	3.7	2.1	3.9	4.8	1.9	5.9	4.2	3.1	2.2	11.4	4.0	5.3	4.8	1.9	3.4	3.2	3.7	3.2	2.5	2.6	5.0	2.0	2.7	5.2	3.2	6.9	3.2	6.3	3.0	5.8	7.1	2.9	4.2	4.1	3.3	3.3	2.7	2.9	8.8	9.4	3.3	5.1	6.5	5.8	2.1	4.4	1.7	4.3	5.3	1.7	4.2	4.7	6.3	2.7	3.6	3.2	2.2	8.6	2.8	4.5	2.9	3.7	3.9	4.1	2.2	2.7	4.1	3.1	2.3	2.6	3.1	5.5	4.1	2.6	5.0	2.9	1.8	2.9	2.1	2.3	2.8	3.6
1999-01-01	7.4	2.2	5.5	5.1	3.0	3.8	2.3	3.5	4.2	2.1	5.9	4.9	3.2	2.4	11.3	3.6	4.4	4.4	1.8	3.2	3.4	3.8	3.3	2.7	2.9	5.4	2.2	3.5	4.9	3.5	7.1	3.2	6.5	3.4	6.3	6.6	3.3	3.7	4.7	3.3	3.7	2.6	3.2	7.4	9.8	3.4	5.3	6.2	6.1	2.1	4.1	1.9	3.1	5.1	2.0	4.2	5.8	6.3	2.8	3.7	3.0	2.3	9.3	2.8	4.7	2.9	2.8	4.0	4.0	2.2	2.6	4.0	2.9	2.5	2.8	3.9	5.2	5.6	2.4	5.3	3.2	1.8	3.8	2.2	2.6	2.8	4.3
