DATE	LAUCN490010000000003A	LAUCN490030000000003A	LAUCN490050000000003A	LAUCN490070000000003A	LAUCN490090000000003A	LAUCN490110000000003A	LAUCN490130000000003A	LAUCN490150000000003A	LAUCN490170000000003A	LAUCN490190000000003A	LAUCN490210000000003A	LAUCN490230000000003A	LAUCN490250000000003A	LAUCN490270000000003A	LAUCN490290000000003A	LAUCN490310000000003A	LAUCN490330000000003A	LAUCN490350000000003A	LAUCN490370000000003A	LAUCN490390000000003A	LAUCN490410000000003A	LAUCN490430000000003A	LAUCN490450000000003A	LAUCN490470000000003A	LAUCN490490000000003A	LAUCN490510000000003A	LAUCN490530000000003A	LAUCN490550000000003A	LAUCN490570000000003A
1990-01-01	4.1	4.5	4.0	7.8	1.7	4.0	8.1	8.2	9.3	7.3	5.1	4.8	6.1	4.6	5.2	7.2	2.1	3.8	8.9	10.8	5.6	6.2	5.4	6.0	4.4	6.4	3.9	8.7	5.1
1991-01-01	4.3	4.0	3.4	8.2	3.1	4.3	7.7	9.5	11.2	6.9	5.1	5.3	7.5	5.2	5.2	9.9	2.7	4.3	10.6	10.6	7.4	7.0	5.4	5.9	4.4	7.8	4.5	9.3	5.3
1992-01-01	5.0	5.2	3.6	9.4	4.7	4.3	8.7	8.8	13.6	7.4	3.8	7.3	7.6	6.1	5.2	7.1	3.7	4.4	10.0	9.3	7.0	6.7	6.2	7.4	4.2	7.6	4.3	8.1	6.0
1993-01-01	4.7	5.2	3.1	7.4	3.8	3.7	8.6	8.1	9.7	6.4	3.8	6.1	6.9	5.4	5.5	5.8	3.0	3.6	7.2	6.4	5.4	5.1	5.5	7.3	3.6	6.2	3.6	7.4	5.1
1994-01-01	3.9	4.9	3.0	7.6	5.1	3.5	10.0	8.0	10.6	6.8	3.6	4.7	8.8	4.8	4.9	8.5	3.9	3.3	8.2	6.7	4.8	4.5	5.8	7.4	3.2	5.8	3.0	7.8	4.5
1995-01-01	4.0	4.6	3.1	6.5	6.3	3.4	9.2	7.9	12.3	6.6	3.4	4.8	8.6	4.8	4.6	5.9	3.9	3.0	8.5	6.0	5.0	3.9	5.5	7.0	2.8	5.0	3.2	6.3	4.2
1996-01-01	5.2	4.2	2.9	6.0	4.1	3.1	8.3	7.4	9.9	6.9	3.7	4.0	7.3	4.2	4.2	4.6	3.5	2.9	9.4	6.0	4.6	3.5	5.1	7.2	2.8	4.3	3.5	5.4	4.1
1997-01-01	4.8	3.8	2.6	5.1	4.2	3.0	6.6	6.6	8.5	6.4	3.4	3.9	5.0	3.9	3.9	5.0	3.3	2.8	8.7	5.4	4.0	3.5	4.5	5.7	2.7	4.0	3.3	5.0	4.0
1998-01-01	4.8	4.7	3.0	6.1	3.8	3.3	7.3	7.7	8.6	7.1	3.8	4.4	3.8	4.6	3.9	4.8	3.4	3.3	7.9	5.9	4.5	4.4	4.9	5.9	3.0	4.8	3.7	6.0	4.7
1999-01-01	3.7	4.5	2.6	6.7	3.4	3.2	9.1	7.0	7.7	6.3	3.5	4.8	3.7	4.2	3.9	5.9	3.5	3.2	7.6	5.3	4.1	4.6	5.3	6.8	3.0	4.8	3.4	5.5	4.3
2000-01-01	3.4	3.7	2.8	5.6	3.9	3.1	4.9	4.8	6.8	6.5	3.2	3.5	3.8	3.4	3.4	4.5	3.0	3.2	8.0	4.4	3.9	3.5	3.7	4.2	2.9	3.5	3.5	4.6	4.2
2001-01-01	3.9	4.6	3.4	6.4	4.9	4.1	5.3	6.7	8.0	6.9	4.5	4.9	4.3	4.1	3.9	5.8	3.2	4.4	8.4	5.4	4.6	4.7	4.8	4.5	4.1	4.5	4.1	5.1	5.2
2002-01-01	4.7	5.6	4.2	7.0	4.9	5.0	6.7	7.1	9.4	7.5	5.3	7.5	5.3	4.6	5.4	6.3	4.1	5.9	8.6	6.6	5.7	6.5	6.3	6.0	5.8	6.3	5.3	6.4	6.2
2003-01-01	5.2	5.5	3.9	7.7	5.4	5.1	6.7	8.0	9.0	7.5	5.2	7.1	5.7	5.0	5.2	5.5	4.0	5.7	9.1	6.8	5.8	6.2	6.3	5.7	5.3	6.1	5.3	6.9	6.4
2004-01-01	4.5	5.0	3.6	6.6	5.4	4.7	5.6	6.8	7.8	7.3	4.6	6.4	5.6	4.8	4.8	4.4	3.4	5.0	9.2	6.2	5.2	5.2	5.5	5.1	4.8	5.4	4.8	6.6	5.5
2005-01-01	4.1	4.3	3.2	4.9	5.2	3.9	4.3	5.1	7.2	6.3	3.9	4.8	4.9	4.0	4.2	4.0	3.1	4.0	7.9	5.3	4.4	4.0	4.4	3.7	3.9	4.1	4.0	5.4	4.6
2006-01-01	3.0	3.2	2.3	3.5	4.7	2.9	2.8	3.5	5.0	4.9	2.9	3.7	3.6	2.9	3.0	3.0	2.3	2.9	6.1	3.8	3.2	2.9	3.3	2.4	2.9	3.2	3.0	4.3	3.4
2007-01-01	2.5	2.7	2.0	3.7	3.5	2.5	2.2	3.4	4.6	4.6	2.9	3.1	3.2	2.5	2.6	2.3	2.0	2.5	5.2	3.1	2.7	2.5	2.8	2.1	2.4	2.5	2.7	4.1	3.1
2008-01-01	3.5	4.0	2.8	4.3	4.0	3.4	2.7	3.8	6.1	5.9	4.4	5.5	4.2	3.3	3.3	2.9	2.7	3.4	6.4	4.2	4.0	3.3	3.8	2.3	3.5	3.7	4.7	5.5	4.2
2009-01-01	6.1	8.1	5.5	7.9	5.8	6.6	8.5	7.1	10.4	9.8	8.8	10.0	7.6	5.6	6.3	6.6	5.1	7.1	11.8	8.4	7.9	7.0	7.9	8.3	7.0	8.4	9.8	8.1	8.4
2010-01-01	9.9	8.5	6.1	8.6	7.3	7.0	9.6	7.3	10.2	10.5	9.6	9.1	7.9	6.2	6.9	10.1	7.2	7.7	10.9	9.0	8.3	7.4	8.3	8.5	7.4	8.4	10.5	8.6	8.8
2011-01-01	8.0	7.5	5.3	7.6	6.2	6.0	6.7	7.3	10.7	9.8	8.3	8.2	7.4	5.3	5.7	10.0	7.2	6.6	10.0	7.9	7.4	6.1	7.1	6.0	6.3	7.0	8.9	10.1	7.8
2012-01-01	6.1	5.8	4.5	7.0	5.0	4.9	4.7	7.2	9.5	8.4	6.8	6.1	6.6	4.7	4.9	8.3	5.3	5.3	8.8	6.4	6.1	4.9	6.0	4.4	5.0	5.8	6.9	10.8	6.3
2013-01-01	4.7	4.7	4.0	6.3	4.9	4.3	4.3	6.1	9.2	7.8	5.6	5.0	5.4	4.1	4.1	7.6	4.7	4.4	8.0	5.6	5.4	4.2	5.4	4.4	4.2	4.7	5.5	10.9	5.4
2014-01-01	4.0	3.9	3.2	5.1	4.2	3.6	3.6	5.3	8.8	6.4	4.5	4.1	4.8	3.5	3.4	7.2	3.9	3.7	7.7	4.6	4.5	3.4	4.8	3.6	3.5	3.8	4.4	9.4	4.4
2015-01-01	3.8	3.7	3.1	5.7	4.7	3.4	7.6	6.1	8.9	6.1	4.5	4.0	4.4	3.5	3.1	6.4	3.7	3.4	7.9	4.2	4.5	3.3	4.2	6.8	3.3	3.5	4.1	9.1	4.1
2016-01-01	5.0	3.5	3.1	5.9	4.9	3.1	8.9	6.3	8.4	5.8	4.3	3.6	3.8	3.3	3.0	6.0	3.2	3.2	8.0	3.9	4.4	3.1	3.8	9.3	3.0	3.3	3.7	7.7	3.8
