DATE	LAUCN500010000000003A	LAUCN500030000000003A	LAUCN500050000000003A	LAUCN500070000000003A	LAUCN500090000000003A	LAUCN500110000000003A	LAUCN500130000000003A	LAUCN500150000000003A	LAUCN500170000000003A	LAUCN500190000000003A	LAUCN500210000000003A	LAUCN500230000000003A	LAUCN500250000000003A	LAUCN500270000000003A
1990-01-01	4.3	5.5	6.1	4.0	8.4	5.9	6.9	6.8	4.9	7.7	4.8	5.4	4.8	4.4
1991-01-01	6.5	5.7	7.7	4.9	9.7	7.6	8.4	9.1	6.5	10.8	6.9	7.2	6.4	6.2
1992-01-01	6.8	5.9	6.9	4.3	8.3	6.6	8.1	8.4	5.2	9.9	7.4	6.9	5.4	5.6
1993-01-01	6.3	4.8	6.9	3.8	7.8	6.0	7.7	7.2	4.1	8.7	6.1	5.4	4.0	4.5
1994-01-01	5.3	4.7	6.3	3.2	6.2	5.3	7.2	6.5	3.6	8.5	5.4	4.8	4.1	3.5
1995-01-01	4.4	4.3	6.1	2.9	7.2	4.8	6.1	5.9	3.7	8.6	4.8	4.8	4.0	3.4
1996-01-01	4.5	4.5	6.2	2.8	7.9	4.7	6.6	6.5	3.3	8.7	5.0	4.8	3.9	3.4
1997-01-01	3.9	4.3	5.3	2.5	6.7	4.1	5.7	5.4	3.1	7.8	4.6	4.7	3.7	3.0
1998-01-01	3.6	3.9	4.8	2.3	6.0	3.3	4.6	4.7	2.7	7.1	3.9	4.1	3.1	2.6
1999-01-01	3.1	3.6	4.0	1.9	5.7	2.9	4.7	3.9	2.3	6.0	3.7	3.3	2.8	2.5
2000-01-01	2.6	3.0	3.4	2.3	4.0	3.0	3.9	3.2	2.4	4.4	3.2	2.7	2.8	2.5
2001-01-01	3.1	3.8	4.0	2.8	4.3	3.6	4.1	3.6	2.8	5.2	3.5	3.3	3.2	2.9
2002-01-01	3.6	4.7	4.9	3.5	5.5	4.2	4.9	4.2	3.7	6.1	4.1	4.2	3.4	3.5
2003-01-01	3.9	4.8	5.0	3.8	4.9	4.7	5.5	4.8	3.8	6.2	4.7	4.4	3.9	3.7
2004-01-01	3.5	4.0	4.2	3.2	4.0	4.0	4.7	4.1	3.4	5.1	4.0	3.8	3.5	3.2
2005-01-01	3.3	3.6	3.9	3.1	3.8	3.8	5.0	3.9	3.2	5.1	3.7	3.6	3.4	3.0
2006-01-01	3.3	3.6	4.1	3.2	3.9	4.2	5.2	4.1	3.3	5.4	3.9	3.8	3.8	3.0
2007-01-01	3.9	4.0	4.5	3.4	5.3	4.3	5.5	4.7	3.7	6.1	4.4	4.1	4.1	3.4
2008-01-01	4.4	4.8	5.2	4.0	6.2	4.9	6.1	5.4	4.4	6.9	5.5	4.7	4.6	3.8
2009-01-01	6.1	7.6	7.8	5.6	8.9	6.5	7.8	7.6	6.2	9.2	7.9	6.3	6.3	5.8
2010-01-01	5.8	6.9	6.9	4.8	9.6	5.7	6.9	7.7	5.9	8.9	7.4	5.9	6.1	6.1
2011-01-01	5.0	6.4	6.3	4.1	8.5	5.3	6.5	7.1	5.3	8.5	6.8	5.3	5.6	5.4
2012-01-01	4.5	5.9	6.2	3.7	8.3	4.6	5.8	6.5	4.7	7.8	6.3	4.7	5.2	4.6
2013-01-01	4.1	5.2	5.4	3.4	7.2	4.1	4.9	5.7	4.1	6.9	5.4	4.2	4.7	4.1
2014-01-01	3.8	4.6	4.9	3.0	6.6	3.9	4.5	5.1	3.8	6.3	4.7	3.9	4.1	3.6
2015-01-01	3.6	4.2	4.7	2.7	6.6	3.6	4.2	4.6	3.4	5.6	4.3	3.5	3.6	3.2
2016-01-01	3.1	3.8	4.1	2.5	5.9	3.2	4.0	4.3	3.1	5.2	3.9	3.2	3.3	2.9
