DATE	LAUCN550010000000003A	LAUCN550030000000003A	LAUCN550050000000003A	LAUCN550070000000003A	LAUCN550090000000003A	LAUCN550110000000003A	LAUCN550130000000003A	LAUCN550150000000003A	LAUCN550170000000003A	LAUCN550190000000003A	LAUCN550210000000003A	LAUCN550230000000003A	LAUCN550250000000003A	LAUCN550270000000003A	LAUCN550290000000003A	LAUCN550310000000003A	LAUCN550330000000003A	LAUCN550350000000003A	LAUCN550370000000003A	LAUCN550390000000003A	LAUCN550410000000003A	LAUCN550430000000003A	LAUCN550450000000003A	LAUCN550470000000003A	LAUCN550490000000003A	LAUCN550510000000003A	LAUCN550530000000003A	LAUCN550550000000003A	LAUCN550570000000003A	LAUCN550590000000003A	LAUCN550610000000003A	LAUCN550630000000003A	LAUCN550650000000003A	LAUCN550670000000003A	LAUCN550690000000003A	LAUCN550710000000003A	LAUCN550730000000003A	LAUCN550750000000003A	LAUCN550770000000003A	LAUCN550780000000003A	LAUCN550790000000003A	LAUCN550810000000003A	LAUCN550830000000003A	LAUCN550850000000003A	LAUCN550870000000003A	LAUCN550890000000003A	LAUCN550910000000003A	LAUCN550930000000003A	LAUCN550950000000003A	LAUCN550970000000003A	LAUCN550990000000003A	LAUCN551010000000003A	LAUCN551030000000003A	LAUCN551050000000003A	LAUCN551070000000003A	LAUCN551090000000003A	LAUCN551110000000003A	LAUCN551130000000003A	LAUCN551150000000003A	LAUCN551170000000003A	LAUCN551190000000003A	LAUCN551210000000003A	LAUCN551230000000003A	LAUCN551250000000003A	LAUCN551270000000003A	LAUCN551290000000003A	LAUCN551310000000003A	LAUCN551330000000003A	LAUCN551350000000003A	LAUCN551370000000003A	LAUCN551390000000003A	LAUCN551410000000003A
1990-01-01	5.4	7.9	6.1	7.7	3.9	5.6	6.3	6.6	5.7	6.0	5.6	5.4	2.0	4.6	6.7	5.7	3.9	5.0	3.7	5.1	6.7	4.7	3.9	6.2	4.0	6.2	6.2	3.9	6.9	6.1	4.6	3.9	3.8	5.2	5.4	4.9	4.2	7.1	6.6	9.2	4.6	5.1	7.9	4.5	3.2	3.2	4.8	3.7	5.9	3.7	5.3	4.6	4.1	5.5	8.1	3.6	5.3	8.1	5.0	4.1	6.6	6.4	4.6	5.6	2.7	7.1	3.8	3.4	4.8	6.1	3.4	4.2
1991-01-01	6.4	9.4	6.8	8.5	4.8	6.9	7.7	6.8	6.2	8.4	6.0	6.5	2.4	5.8	7.8	7.1	5.6	5.7	12.5	5.0	9.3	5.4	5.8	6.8	4.6	8.0	8.4	5.6	7.7	6.1	6.7	4.3	5.0	6.2	7.4	5.6	5.4	9.2	7.4	8.6	5.5	6.8	10.5	5.1	3.8	3.9	7.6	5.4	7.7	4.1	7.6	6.7	6.9	12.5	10.7	5.7	6.5	8.0	7.1	5.7	8.7	8.0	6.5	6.0	3.7	7.8	4.9	4.2	5.4	7.4	3.7	4.6
1992-01-01	6.7	8.3	6.6	7.6	4.3	6.0	7.1	5.4	6.4	8.0	6.0	6.3	2.2	5.7	7.7	7.8	5.7	5.8	11.1	4.4	7.5	5.4	4.5	5.7	4.5	8.6	7.3	5.1	7.9	6.0	6.5	4.4	5.2	6.9	6.5	5.7	5.5	8.2	7.0	10.1	5.1	6.9	8.6	5.0	3.7	3.8	6.5	5.7	7.8	4.6	6.3	7.1	6.7	8.0	10.1	5.6	5.8	8.6	6.5	4.3	7.6	8.5	6.2	5.1	3.9	7.9	4.8	4.1	4.9	7.0	3.4	5.6
1993-01-01	5.8	8.4	7.0	7.8	4.4	5.0	7.0	5.1	6.5	7.4	6.3	5.7	2.2	4.8	8.5	7.3	4.7	5.3	8.5	4.0	7.4	4.8	3.9	6.3	4.3	9.0	6.8	4.8	7.5	5.1	5.3	4.4	3.9	7.2	6.2	5.2	5.2	7.8	7.7	9.8	5.0	5.9	8.1	5.1	3.5	3.0	5.5	4.6	6.3	5.1	6.3	6.1	5.0	6.3	11.1	4.5	5.7	7.7	5.7	3.4	7.6	7.4	5.8	5.4	3.0	7.6	3.6	3.6	4.7	7.4	3.9	5.3
1994-01-01	5.8	8.3	6.1	7.7	4.1	4.9	6.1	4.9	5.9	7.4	6.7	5.9	2.2	4.2	9.1	7.3	4.1	4.4	6.8	3.9	7.1	5.1	3.4	6.0	4.2	7.9	6.4	4.1	7.2	4.8	5.0	3.9	4.3	7.0	6.2	4.7	5.2	6.9	7.5	9.0	4.9	6.1	7.2	5.2	3.7	2.9	5.2	3.9	5.1	5.0	7.1	5.6	4.7	5.0	9.5	3.6	4.7	6.8	5.7	3.2	7.3	6.7	5.3	6.0	2.8	7.3	3.7	3.5	5.3	7.2	3.7	4.8
1995-01-01	5.1	6.7	4.9	6.8	3.3	4.2	4.7	4.6	4.7	6.7	5.4	5.2	1.8	3.3	6.9	5.9	3.7	3.3	5.4	3.4	6.9	4.8	3.2	4.7	4.0	7.4	5.3	3.3	6.4	3.9	4.0	3.8	4.0	6.2	6.3	4.7	4.6	5.9	7.4	8.6	4.1	4.9	6.2	4.6	3.0	2.5	4.9	3.2	4.4	4.7	5.5	4.5	4.3	4.1	7.7	3.1	4.0	5.8	5.0	2.8	6.5	5.4	4.9	4.8	2.6	6.8	3.0	2.7	4.4	5.7	3.0	4.3
1996-01-01	5.0	7.0	4.6	6.2	3.1	3.3	4.7	2.9	4.5	6.0	5.2	4.6	1.7	2.9	6.4	5.4	3.3	3.4	6.5	3.4	5.4	6.3	3.5	4.9	3.8	8.3	4.8	2.7	6.8	3.6	3.9	3.1	4.5	5.6	5.1	4.3	4.0	5.9	6.5	8.3	4.2	4.5	6.1	4.2	2.9	2.2	4.8	3.3	4.1	4.2	6.4	4.3	3.8	3.9	7.2	3.0	3.8	6.7	4.5	2.9	5.1	4.9	4.6	4.7	2.6	6.1	2.7	2.5	3.7	5.9	2.8	3.9
1997-01-01	5.0	6.6	4.6	6.5	3.1	3.6	4.8	3.2	4.1	6.3	4.8	3.8	1.7	3.1	5.9	5.1	3.4	3.3	7.5	3.4	6.1	5.3	3.4	5.1	3.6	7.7	4.8	2.9	7.5	3.5	3.7	2.9	3.7	5.8	5.4	3.7	3.6	5.4	6.1	9.6	4.1	5.1	5.7	4.7	3.0	2.0	4.7	3.0	4.1	4.2	5.0	4.2	3.7	4.1	7.7	2.9	3.6	6.6	4.5	2.5	5.2	5.1	4.5	4.9	3.0	6.3	2.7	2.5	3.5	5.8	2.9	4.3
1998-01-01	4.4	7.8	4.3	6.6	2.7	3.1	4.2	2.7	3.8	5.8	4.4	3.9	1.5	2.8	5.3	4.8	3.2	3.0	6.9	3.1	7.6	4.0	3.3	4.9	3.3	7.9	4.1	2.7	6.7	3.3	3.4	2.8	3.6	5.9	4.8	3.5	3.5	5.8	6.0	8.7	4.0	4.4	5.1	4.7	2.8	2.2	4.3	2.8	4.1	3.9	6.5	4.1	3.9	4.1	6.0	2.7	3.4	6.2	4.1	2.4	5.1	4.3	4.2	4.7	2.6	6.0	2.7	2.3	3.3	5.1	2.7	4.5
1999-01-01	3.8	7.6	4.0	5.8	2.4	3.0	4.7	2.3	3.7	5.0	3.9	3.7	1.4	2.6	4.4	4.2	3.1	2.7	6.7	2.8	5.3	3.6	3.3	4.1	3.0	6.0	3.3	2.5	6.8	3.3	2.8	3.0	3.6	5.3	4.7	3.6	3.0	4.7	5.3	7.8	3.9	4.0	4.5	4.5	2.6	1.9	4.1	2.6	3.7	3.4	7.0	4.5	3.5	4.1	4.8	2.4	2.8	5.3	3.6	2.0	4.0	3.8	4.0	4.4	2.5	5.8	2.3	2.1	3.4	4.6	2.3	3.7
